Perturbation	Synergies	Non-synergies
[PD_11]-[PD_14]	0	0
[PD_11]-[PD_15]	0	0
[PD_11]-[PD_16]	0	0
[PD_11]-[PD_17]	0	0
[PD_11]-[PD_18]	0	0
[PD_11]-[PD_19]	0	0
[PD_11]-[PD_20]	0	0
[PD_11]-[PD_21]	0	0
[PD_12]-[PD_13]	13	137
[PD_12]-[PD_14]	0	150
[PD_12]-[PD_15]	11	139
[PD_12]-[PD_16]	17	133
[PD_12]-[PD_17]	0	150
[PD_12]-[PD_18]	0	150
[PD_12]-[PD_19]	0	103
[PD_12]-[PD_20]	45	89
[PD_12]-[PD_21]	45	89
[PD_13]-[PD_14]	0	150
[PD_13]-[PD_15]	0	150
[PD_13]-[PD_16]	136	14
[PD_13]-[PD_17]	10	140
[PD_13]-[PD_18]	3	147
[PD_13]-[PD_19]	4	99
[PD_13]-[PD_20]	82	52
[PD_13]-[PD_21]	82	52
[PD_14]-[PD_15]	0	150
[PD_14]-[PD_16]	0	150
[PD_14]-[PD_17]	2	148
[PD_14]-[PD_18]	0	150
[PD_14]-[PD_19]	0	103
[PD_14]-[PD_20]	1	133
[PD_14]-[PD_21]	1	133
[PD_15]-[PD_16]	75	75
[PD_15]-[PD_17]	9	141
[PD_15]-[PD_18]	2	148
[PD_15]-[PD_19]	2	101
[PD_15]-[PD_20]	50	84
[PD_15]-[PD_21]	50	84
[PD_16]-[PD_17]	14	136
[PD_16]-[PD_18]	3	147
[PD_16]-[PD_19]	3	100
[PD_16]-[PD_20]	90	44
[PD_16]-[PD_21]	90	44
[PD_17]-[PD_18]	4	146
[PD_17]-[PD_19]	0	103
[PD_17]-[PD_20]	11	123
[PD_17]-[PD_21]	11	123
[PD_18]-[PD_19]	0	103
[PD_18]-[PD_20]	41	93
[PD_18]-[PD_21]	41	93
[PD_19]-[PD_20]	0	86
[PD_19]-[PD_21]	0	86
[PD_20]-[PD_21]	0	134
