Perturbation	Synergies	Non-synergies
[PD_08]-[PD_13]	13	134
[PD_08]-[PD_14]	0	147
[PD_08]-[PD_15]	13	134
[PD_08]-[PD_16]	14	133
[PD_08]-[PD_17]	13	134
[PD_08]-[PD_18]	5	142
[PD_08]-[PD_19]	0	123
[PD_08]-[PD_20]	46	98
[PD_08]-[PD_21]	46	98
[PD_09]-[PD_10]	0	133
[PD_09]-[PD_11]	0	24
[PD_09]-[PD_12]	8	125
[PD_09]-[PD_13]	9	124
[PD_09]-[PD_14]	0	133
[PD_09]-[PD_15]	4	129
[PD_09]-[PD_16]	0	133
[PD_09]-[PD_17]	2	131
[PD_09]-[PD_18]	6	127
[PD_09]-[PD_19]	3	109
[PD_09]-[PD_20]	47	83
[PD_09]-[PD_21]	47	83
[PD_10]-[PD_11]	0	33
[PD_10]-[PD_12]	31	119
[PD_10]-[PD_13]	133	17
[PD_10]-[PD_14]	2	148
[PD_10]-[PD_15]	86	64
[PD_10]-[PD_16]	3	147
[PD_10]-[PD_17]	16	134
[PD_10]-[PD_18]	7	143
[PD_10]-[PD_19]	3	123
[PD_10]-[PD_20]	78	69
[PD_10]-[PD_21]	78	69
[PD_11]-[PD_12]	4	29
[PD_11]-[PD_13]	3	30
[PD_11]-[PD_14]	0	33
[PD_11]-[PD_15]	6	27
[PD_11]-[PD_16]	0	33
[PD_11]-[PD_17]	0	33
[PD_11]-[PD_18]	2	31
[PD_11]-[PD_19]	0	33
[PD_11]-[PD_20]	9	24
[PD_11]-[PD_21]	9	24
[PD_12]-[PD_13]	23	127
[PD_12]-[PD_14]	0	150
[PD_12]-[PD_15]	15	135
[PD_12]-[PD_16]	25	125
[PD_12]-[PD_17]	1	149
[PD_12]-[PD_18]	2	148
[PD_12]-[PD_19]	3	123
[PD_12]-[PD_20]	54	93
[PD_12]-[PD_21]	54	93
[PD_13]-[PD_14]	1	149
[PD_13]-[PD_15]	0	150
[PD_13]-[PD_16]	133	17
[PD_13]-[PD_17]	12	138
[PD_13]-[PD_18]	10	140
[PD_13]-[PD_19]	3	123
[PD_13]-[PD_20]	65	82
[PD_13]-[PD_21]	65	82
[PD_14]-[PD_15]	1	149
[PD_14]-[PD_16]	0	150
[PD_14]-[PD_17]	0	150
[PD_14]-[PD_18]	0	150
[PD_14]-[PD_19]	0	126
[PD_14]-[PD_20]	5	142
[PD_14]-[PD_21]	5	142
[PD_15]-[PD_16]	86	64
[PD_15]-[PD_17]	13	137
[PD_15]-[PD_18]	4	146
[PD_15]-[PD_19]	6	120
[PD_15]-[PD_20]	50	97
[PD_15]-[PD_21]	50	97
[PD_16]-[PD_17]	15	135
[PD_16]-[PD_18]	4	146
[PD_16]-[PD_19]	2	124
[PD_16]-[PD_20]	85	62
[PD_16]-[PD_21]	85	62
[PD_17]-[PD_18]	1	149
[PD_17]-[PD_19]	3	123
[PD_17]-[PD_20]	21	126
[PD_17]-[PD_21]	21	126
[PD_18]-[PD_19]	1	125
[PD_18]-[PD_20]	40	107
[PD_18]-[PD_21]	40	107
[PD_19]-[PD_20]	4	118
[PD_19]-[PD_21]	4	118
[PD_20]-[PD_21]	0	147
