,drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
86,Torin 1,SN-38,LS123,1.381584882,PD_03,,PD_03-nan,Torin 1 + SN-38,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
87,Torin 1,Ulixertinib,LS123,8.958208404,PD_03,PD_11,PD_03-PD_11,Torin 1 + Ulixertinib,mTOR_inhibitors,ERK_inhibitors,mTOR_inhibitors + ERK_inhibitors,"['mTOR_c2', 'mTOR_c1']",['ERK_f'],"['mTOR_c2', 'mTOR_c1'] + ['ERK_f']"
88,AZD-8055,Capivasertib,T84,20.65014745,PD_03,PD_01,PD_03-PD_01,AZD-8055 + Capivasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
89,AZD-8055,Ipatasertib,T84,28.26746702,PD_03,PD_01,PD_03-PD_01,AZD-8055 + Ipatasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
90,AZD-8055,Lapatinib,T84,31.00412275,PD_03,PD_04,PD_03-PD_04,AZD-8055 + Lapatinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
91,AZD-8055,Navitoclax,T84,32.53225087,PD_03,PD_09,PD_03-PD_09,AZD-8055 + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
92,AZD-8055,Neratinib,T84,21.95895676,PD_03,PD_04,PD_03-PD_04,AZD-8055 + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
93,AZD-8055,Obatoclax Mesylate,T84,21.38695976,PD_03,PD_10,PD_03-PD_10,AZD-8055 + Obatoclax Mesylate,mTOR_inhibitors,BCL2_inhibitors,mTOR_inhibitors + BCL2_inhibitors,"['mTOR_c2', 'mTOR_c1']",['BCL2'],"['mTOR_c2', 'mTOR_c1'] + ['BCL2']"
94,AZD-8055,oxaliplatin,T84,30.95784474,PD_03,,PD_03-nan,AZD-8055 + oxaliplatin,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
95,AZD-8055,Palbociclib,T84,36.77267247,PD_03,PD_08,PD_03-PD_08,AZD-8055 + Palbociclib,mTOR_inhibitors,CyclinD_inhibitors,mTOR_inhibitors + CyclinD_inhibitors,"['mTOR_c2', 'mTOR_c1']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['mTOR_c2', 'mTOR_c1'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
96,AZD-8055,SN-38,T84,26.86164052,PD_03,,PD_03-nan,AZD-8055 + SN-38,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
97,AZD-8055,Ulixertinib,T84,36.12133934,PD_03,PD_11,PD_03-PD_11,AZD-8055 + Ulixertinib,mTOR_inhibitors,ERK_inhibitors,mTOR_inhibitors + ERK_inhibitors,"['mTOR_c2', 'mTOR_c1']",['ERK_f'],"['mTOR_c2', 'mTOR_c1'] + ['ERK_f']"
98,Capivasertib,Lapatinib,T84,16.75850971,PD_01,PD_04,PD_01-PD_04,Capivasertib + Lapatinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
99,Capivasertib,Neratinib,T84,16.45627543,PD_01,PD_04,PD_01-PD_04,Capivasertib + Neratinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
100,Everolimus,Capivasertib,T84,12.97215425,PD_03,PD_01,PD_03-PD_01,Everolimus + Capivasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
101,Everolimus,Ipatasertib,T84,20.310977,PD_03,PD_01,PD_03-PD_01,Everolimus + Ipatasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
102,Everolimus,Lapatinib,T84,24.34780537,PD_03,PD_04,PD_03-PD_04,Everolimus + Lapatinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
103,Everolimus,Navitoclax,T84,29.27993713,PD_03,PD_09,PD_03-PD_09,Everolimus + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
104,Everolimus,Neratinib,T84,20.12976878,PD_03,PD_04,PD_03-PD_04,Everolimus + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
105,Everolimus,Obatoclax Mesylate,T84,30.13066025,PD_03,PD_10,PD_03-PD_10,Everolimus + Obatoclax Mesylate,mTOR_inhibitors,BCL2_inhibitors,mTOR_inhibitors + BCL2_inhibitors,"['mTOR_c2', 'mTOR_c1']",['BCL2'],"['mTOR_c2', 'mTOR_c1'] + ['BCL2']"
106,Everolimus,oxaliplatin,T84,47.69458389,PD_03,,PD_03-nan,Everolimus + oxaliplatin,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
107,Everolimus,Palbociclib,T84,38.97271329,PD_03,PD_08,PD_03-PD_08,Everolimus + Palbociclib,mTOR_inhibitors,CyclinD_inhibitors,mTOR_inhibitors + CyclinD_inhibitors,"['mTOR_c2', 'mTOR_c1']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['mTOR_c2', 'mTOR_c1'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
108,Everolimus,SN-38,T84,44.73028844,PD_03,,PD_03-nan,Everolimus + SN-38,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
109,Everolimus,Ulixertinib,T84,53.66038588,PD_03,PD_11,PD_03-PD_11,Everolimus + Ulixertinib,mTOR_inhibitors,ERK_inhibitors,mTOR_inhibitors + ERK_inhibitors,"['mTOR_c2', 'mTOR_c1']",['ERK_f'],"['mTOR_c2', 'mTOR_c1'] + ['ERK_f']"
110,Ipatasertib,Lapatinib,T84,29.44628899,PD_01,PD_04,PD_01-PD_04,Ipatasertib + Lapatinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
111,Ipatasertib,Neratinib,T84,23.23418753,PD_01,PD_04,PD_01-PD_04,Ipatasertib + Neratinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
112,PF 477736,MK-1775 (Advosertib),T84,33.162055,PD_02,PD_06,PD_02-PD_06,PF 477736 + MK-1775 (Advosertib),CHK1_inhibitors,Wee1_inhibitors,CHK1_inhibitors + Wee1_inhibitors,"['CHEK1', 'CHEK2']","['WEE1', 'PLK1']","['CHEK1', 'CHEK2'] + ['WEE1', 'PLK1']"
113,PF 477736,Niraparib,T84,31.88541484,PD_02,PD_05,PD_02-PD_05,PF 477736 + Niraparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
114,PF 477736,Olaparib,T84,11.95907976,PD_02,PD_05,PD_02-PD_05,PF 477736 + Olaparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
115,PF 477736,Palbociclib,T84,36.5880614,PD_02,PD_08,PD_02-PD_08,PF 477736 + Palbociclib,CHK1_inhibitors,CyclinD_inhibitors,CHK1_inhibitors + CyclinD_inhibitors,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
116,PF 477736,PF-3644022,T84,34.27468057,PD_02,PD_07,PD_02-PD_07,PF 477736 + PF-3644022,CHK1_inhibitors,MK2_inhibitors,CHK1_inhibitors + MK2_inhibitors,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
117,Prexasertib,MK-1775 (Advosertib),T84,43.82369715,PD_02,PD_06,PD_02-PD_06,Prexasertib + MK-1775 (Advosertib),CHK1_inhibitors,Wee1_inhibitors,CHK1_inhibitors + Wee1_inhibitors,"['CHEK1', 'CHEK2']","['WEE1', 'PLK1']","['CHEK1', 'CHEK2'] + ['WEE1', 'PLK1']"
118,Prexasertib,Niraparib,T84,25.6499735,PD_02,PD_05,PD_02-PD_05,Prexasertib + Niraparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
119,Prexasertib,Olaparib,T84,13.23445282,PD_02,PD_05,PD_02-PD_05,Prexasertib + Olaparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
120,Prexasertib,Palbociclib,T84,22.71883664,PD_02,PD_08,PD_02-PD_08,Prexasertib + Palbociclib,CHK1_inhibitors,CyclinD_inhibitors,CHK1_inhibitors + CyclinD_inhibitors,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
121,Prexasertib,PF-3644022,T84,24.86841618,PD_02,PD_07,PD_02-PD_07,Prexasertib + PF-3644022,CHK1_inhibitors,MK2_inhibitors,CHK1_inhibitors + MK2_inhibitors,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
122,Torin 1,Capivasertib,T84,15.68283309,PD_03,PD_01,PD_03-PD_01,Torin 1 + Capivasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
123,Torin 1,Ipatasertib,T84,19.84323399,PD_03,PD_01,PD_03-PD_01,Torin 1 + Ipatasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
124,Torin 1,Lapatinib,T84,24.2860742,PD_03,PD_04,PD_03-PD_04,Torin 1 + Lapatinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
125,Torin 1,Navitoclax,T84,26.03726269,PD_03,PD_09,PD_03-PD_09,Torin 1 + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
126,Torin 1,Neratinib,T84,17.3050036,PD_03,PD_04,PD_03-PD_04,Torin 1 + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
127,Torin 1,Obatoclax Mesylate,T84,29.93572941,PD_03,PD_10,PD_03-PD_10,Torin 1 + Obatoclax Mesylate,mTOR_inhibitors,BCL2_inhibitors,mTOR_inhibitors + BCL2_inhibitors,"['mTOR_c2', 'mTOR_c1']",['BCL2'],"['mTOR_c2', 'mTOR_c1'] + ['BCL2']"
128,Torin 1,oxaliplatin,T84,41.9166844,PD_03,,PD_03-nan,Torin 1 + oxaliplatin,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
129,Torin 1,Palbociclib,T84,41.29829873,PD_03,PD_08,PD_03-PD_08,Torin 1 + Palbociclib,mTOR_inhibitors,CyclinD_inhibitors,mTOR_inhibitors + CyclinD_inhibitors,"['mTOR_c2', 'mTOR_c1']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['mTOR_c2', 'mTOR_c1'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
130,Torin 1,SN-38,T84,42.17830776,PD_03,,PD_03-nan,Torin 1 + SN-38,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
131,Torin 1,Ulixertinib,T84,47.68884354,PD_03,PD_11,PD_03-PD_11,Torin 1 + Ulixertinib,mTOR_inhibitors,ERK_inhibitors,mTOR_inhibitors + ERK_inhibitors,"['mTOR_c2', 'mTOR_c1']",['ERK_f'],"['mTOR_c2', 'mTOR_c1'] + ['ERK_f']"
132,AZD-8055,Capivasertib,NCI-H508,-9.184590799,PD_03,PD_01,PD_03-PD_01,AZD-8055 + Capivasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
133,AZD-8055,Ipatasertib,NCI-H508,-12.15811573,PD_03,PD_01,PD_03-PD_01,AZD-8055 + Ipatasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
134,AZD-8055,Lapatinib,NCI-H508,-7.547454275,PD_03,PD_04,PD_03-PD_04,AZD-8055 + Lapatinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
135,AZD-8055,Navitoclax,NCI-H508,15.93932282,PD_03,PD_09,PD_03-PD_09,AZD-8055 + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
136,AZD-8055,Neratinib,NCI-H508,-8.869215293,PD_03,PD_04,PD_03-PD_04,AZD-8055 + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
137,AZD-8055,Obatoclax Mesylate,NCI-H508,12.40627348,PD_03,PD_10,PD_03-PD_10,AZD-8055 + Obatoclax Mesylate,mTOR_inhibitors,BCL2_inhibitors,mTOR_inhibitors + BCL2_inhibitors,"['mTOR_c2', 'mTOR_c1']",['BCL2'],"['mTOR_c2', 'mTOR_c1'] + ['BCL2']"
138,AZD-8055,oxaliplatin,NCI-H508,-13.85401343,PD_03,,PD_03-nan,AZD-8055 + oxaliplatin,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
139,AZD-8055,Palbociclib,NCI-H508,2.959803729,PD_03,PD_08,PD_03-PD_08,AZD-8055 + Palbociclib,mTOR_inhibitors,CyclinD_inhibitors,mTOR_inhibitors + CyclinD_inhibitors,"['mTOR_c2', 'mTOR_c1']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['mTOR_c2', 'mTOR_c1'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
140,AZD-8055,SN-38,NCI-H508,-8.231856284,PD_03,,PD_03-nan,AZD-8055 + SN-38,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
141,AZD-8055,Ulixertinib,NCI-H508,21.17745834,PD_03,PD_11,PD_03-PD_11,AZD-8055 + Ulixertinib,mTOR_inhibitors,ERK_inhibitors,mTOR_inhibitors + ERK_inhibitors,"['mTOR_c2', 'mTOR_c1']",['ERK_f'],"['mTOR_c2', 'mTOR_c1'] + ['ERK_f']"
142,Capivasertib,Lapatinib,NCI-H508,2.042596551,PD_01,PD_04,PD_01-PD_04,Capivasertib + Lapatinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
143,Capivasertib,Neratinib,NCI-H508,0.148899747,PD_01,PD_04,PD_01-PD_04,Capivasertib + Neratinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
144,Everolimus,Capivasertib,NCI-H508,-3.219928606,PD_03,PD_01,PD_03-PD_01,Everolimus + Capivasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
145,Everolimus,Ipatasertib,NCI-H508,-4.093094847,PD_03,PD_01,PD_03-PD_01,Everolimus + Ipatasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
146,Everolimus,Lapatinib,NCI-H508,-3.537386296,PD_03,PD_04,PD_03-PD_04,Everolimus + Lapatinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
147,Everolimus,Navitoclax,NCI-H508,19.07166277,PD_03,PD_09,PD_03-PD_09,Everolimus + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
148,Everolimus,Neratinib,NCI-H508,-4.461617111,PD_03,PD_04,PD_03-PD_04,Everolimus + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
149,Everolimus,Obatoclax Mesylate,NCI-H508,19.42467717,PD_03,PD_10,PD_03-PD_10,Everolimus + Obatoclax Mesylate,mTOR_inhibitors,BCL2_inhibitors,mTOR_inhibitors + BCL2_inhibitors,"['mTOR_c2', 'mTOR_c1']",['BCL2'],"['mTOR_c2', 'mTOR_c1'] + ['BCL2']"
150,Everolimus,oxaliplatin,NCI-H508,-0.021934073,PD_03,,PD_03-nan,Everolimus + oxaliplatin,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
151,Everolimus,Palbociclib,NCI-H508,14.72801352,PD_03,PD_08,PD_03-PD_08,Everolimus + Palbociclib,mTOR_inhibitors,CyclinD_inhibitors,mTOR_inhibitors + CyclinD_inhibitors,"['mTOR_c2', 'mTOR_c1']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['mTOR_c2', 'mTOR_c1'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
152,Everolimus,SN-38,NCI-H508,8.68478814,PD_03,,PD_03-nan,Everolimus + SN-38,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
153,Everolimus,Ulixertinib,NCI-H508,25.27420022,PD_03,PD_11,PD_03-PD_11,Everolimus + Ulixertinib,mTOR_inhibitors,ERK_inhibitors,mTOR_inhibitors + ERK_inhibitors,"['mTOR_c2', 'mTOR_c1']",['ERK_f'],"['mTOR_c2', 'mTOR_c1'] + ['ERK_f']"
154,Ipatasertib,Lapatinib,NCI-H508,-0.033199124,PD_01,PD_04,PD_01-PD_04,Ipatasertib + Lapatinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
155,Ipatasertib,Neratinib,NCI-H508,-0.65015566,PD_01,PD_04,PD_01-PD_04,Ipatasertib + Neratinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
156,PF 477736,MK-1775 (Advosertib),NCI-H508,24.1366347,PD_02,PD_06,PD_02-PD_06,PF 477736 + MK-1775 (Advosertib),CHK1_inhibitors,Wee1_inhibitors,CHK1_inhibitors + Wee1_inhibitors,"['CHEK1', 'CHEK2']","['WEE1', 'PLK1']","['CHEK1', 'CHEK2'] + ['WEE1', 'PLK1']"
157,PF 477736,Niraparib,NCI-H508,0.728232183,PD_02,PD_05,PD_02-PD_05,PF 477736 + Niraparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
158,PF 477736,Olaparib,NCI-H508,9.344096912,PD_02,PD_05,PD_02-PD_05,PF 477736 + Olaparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
159,PF 477736,Palbociclib,NCI-H508,-3.539020112,PD_02,PD_08,PD_02-PD_08,PF 477736 + Palbociclib,CHK1_inhibitors,CyclinD_inhibitors,CHK1_inhibitors + CyclinD_inhibitors,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
160,PF 477736,PF-3644022,NCI-H508,11.00805093,PD_02,PD_07,PD_02-PD_07,PF 477736 + PF-3644022,CHK1_inhibitors,MK2_inhibitors,CHK1_inhibitors + MK2_inhibitors,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
161,Prexasertib,MK-1775 (Advosertib),NCI-H508,14.85607377,PD_02,PD_06,PD_02-PD_06,Prexasertib + MK-1775 (Advosertib),CHK1_inhibitors,Wee1_inhibitors,CHK1_inhibitors + Wee1_inhibitors,"['CHEK1', 'CHEK2']","['WEE1', 'PLK1']","['CHEK1', 'CHEK2'] + ['WEE1', 'PLK1']"
162,Prexasertib,Niraparib,NCI-H508,-5.002991367,PD_02,PD_05,PD_02-PD_05,Prexasertib + Niraparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
163,Prexasertib,Olaparib,NCI-H508,3.597537926,PD_02,PD_05,PD_02-PD_05,Prexasertib + Olaparib,CHK1_inhibitors,PARP_inhibitors,CHK1_inhibitors + PARP_inhibitors,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
164,Prexasertib,Palbociclib,NCI-H508,-21.07924373,PD_02,PD_08,PD_02-PD_08,Prexasertib + Palbociclib,CHK1_inhibitors,CyclinD_inhibitors,CHK1_inhibitors + CyclinD_inhibitors,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
165,Prexasertib,PF-3644022,NCI-H508,0.604783502,PD_02,PD_07,PD_02-PD_07,Prexasertib + PF-3644022,CHK1_inhibitors,MK2_inhibitors,CHK1_inhibitors + MK2_inhibitors,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
166,Torin 1,Capivasertib,NCI-H508,-0.744048357,PD_03,PD_01,PD_03-PD_01,Torin 1 + Capivasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
167,Torin 1,Ipatasertib,NCI-H508,-5.104655765,PD_03,PD_01,PD_03-PD_01,Torin 1 + Ipatasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
168,Torin 1,Lapatinib,NCI-H508,-2.047275003,PD_03,PD_04,PD_03-PD_04,Torin 1 + Lapatinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
169,Torin 1,Navitoclax,NCI-H508,15.35575897,PD_03,PD_09,PD_03-PD_09,Torin 1 + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
170,Torin 1,Neratinib,NCI-H508,-1.326650492,PD_03,PD_04,PD_03-PD_04,Torin 1 + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
