Perturbation	Synergies	Non-synergies
[PD_04]-[PD_07]	19	96
[PD_04]-[PD_08]	0	150
[PD_04]-[PD_09]	0	150
[PD_04]-[PD_10]	2	148
[PD_04]-[PD_11]	0	12
[PD_04]-[PD_12]	5	145
[PD_04]-[PD_13]	0	150
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	7	143
[PD_04]-[PD_16]	2	148
[PD_04]-[PD_17]	11	139
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	0	107
[PD_04]-[PD_20]	16	122
[PD_04]-[PD_21]	16	122
[PD_05]-[PD_06]	80	68
[PD_05]-[PD_07]	0	117
[PD_05]-[PD_08]	38	110
[PD_05]-[PD_09]	40	108
[PD_05]-[PD_10]	77	70
[PD_05]-[PD_11]	3	9
[PD_05]-[PD_12]	51	97
[PD_05]-[PD_13]	75	73
[PD_05]-[PD_14]	4	144
[PD_05]-[PD_15]	49	99
[PD_05]-[PD_16]	83	65
[PD_05]-[PD_17]	6	142
[PD_05]-[PD_18]	41	107
[PD_05]-[PD_19]	0	107
[PD_05]-[PD_20]	0	138
[PD_05]-[PD_21]	0	138
[PD_06]-[PD_07]	60	55
[PD_06]-[PD_08]	0	150
[PD_06]-[PD_09]	0	150
[PD_06]-[PD_10]	35	115
[PD_06]-[PD_11]	4	5
[PD_06]-[PD_12]	47	103
[PD_06]-[PD_13]	55	95
[PD_06]-[PD_14]	2	148
[PD_06]-[PD_15]	31	119
[PD_06]-[PD_16]	40	110
[PD_06]-[PD_17]	12	138
[PD_06]-[PD_18]	12	138
[PD_06]-[PD_19]	2	92
[PD_06]-[PD_20]	83	55
[PD_06]-[PD_21]	83	55
[PD_07]-[PD_08]	35	82
[PD_07]-[PD_09]	44	72
[PD_07]-[PD_10]	66	49
[PD_07]-[PD_11]	0	12
[PD_07]-[PD_12]	46	71
[PD_07]-[PD_13]	71	46
[PD_07]-[PD_14]	1	116
[PD_07]-[PD_15]	41	76
[PD_07]-[PD_16]	83	34
[PD_07]-[PD_17]	0	117
[PD_07]-[PD_18]	41	76
[PD_07]-[PD_19]	0	76
[PD_07]-[PD_20]	0	117
[PD_07]-[PD_21]	0	117
[PD_08]-[PD_09]	0	150
[PD_08]-[PD_10]	15	135
[PD_08]-[PD_11]	1	11
[PD_08]-[PD_12]	17	133
[PD_08]-[PD_13]	25	125
[PD_08]-[PD_14]	2	148
[PD_08]-[PD_15]	18	132
[PD_08]-[PD_16]	23	127
[PD_08]-[PD_17]	6	144
[PD_08]-[PD_18]	8	142
[PD_08]-[PD_19]	3	104
[PD_08]-[PD_20]	32	106
[PD_08]-[PD_21]	32	106
[PD_09]-[PD_10]	0	150
[PD_09]-[PD_11]	0	9
[PD_09]-[PD_12]	0	150
[PD_09]-[PD_13]	6	144
[PD_09]-[PD_14]	0	150
[PD_09]-[PD_15]	4	146
[PD_09]-[PD_16]	0	150
[PD_09]-[PD_17]	1	149
[PD_09]-[PD_18]	0	150
[PD_09]-[PD_19]	0	107
[PD_09]-[PD_20]	40	98
[PD_09]-[PD_21]	40	98
[PD_10]-[PD_11]	0	12
[PD_10]-[PD_12]	29	121
[PD_10]-[PD_13]	141	9
[PD_10]-[PD_14]	0	150
[PD_10]-[PD_15]	78	72
[PD_10]-[PD_16]	0	150
[PD_10]-[PD_17]	2	148
[PD_10]-[PD_18]	2	148
[PD_10]-[PD_19]	3	104
[PD_10]-[PD_20]	80	57
[PD_10]-[PD_21]	80	57
[PD_11]-[PD_12]	4	8
[PD_11]-[PD_13]	3	9
[PD_11]-[PD_14]	0	12
[PD_11]-[PD_15]	5	7
[PD_11]-[PD_16]	0	12
[PD_11]-[PD_17]	0	12
[PD_11]-[PD_18]	3	9
[PD_11]-[PD_19]	0	12
[PD_11]-[PD_20]	3	9
[PD_11]-[PD_21]	3	9
[PD_12]-[PD_13]	21	129
[PD_12]-[PD_14]	0	150
[PD_12]-[PD_15]	13	137
[PD_12]-[PD_16]	32	118
[PD_12]-[PD_17]	0	150
[PD_12]-[PD_18]	3	147
[PD_12]-[PD_19]	6	101
[PD_12]-[PD_20]	53	85
[PD_12]-[PD_21]	53	85
[PD_13]-[PD_14]	0	150
[PD_13]-[PD_15]	0	150
[PD_13]-[PD_16]	141	9
[PD_13]-[PD_17]	4	146
[PD_13]-[PD_18]	5	145
[PD_13]-[PD_19]	2	105
[PD_13]-[PD_20]	73	65
[PD_13]-[PD_21]	73	65
[PD_14]-[PD_15]	0	150
[PD_14]-[PD_16]	0	150
[PD_14]-[PD_17]	0	150
[PD_14]-[PD_18]	0	150
[PD_14]-[PD_19]	0	107
[PD_14]-[PD_20]	3	135
[PD_14]-[PD_21]	3	135
[PD_15]-[PD_16]	78	72
[PD_15]-[PD_17]	9	141
[PD_15]-[PD_18]	4	146
[PD_15]-[PD_19]	1	106
[PD_15]-[PD_20]	45	93
[PD_15]-[PD_21]	45	93
[PD_16]-[PD_17]	2	148
[PD_16]-[PD_18]	5	145
[PD_16]-[PD_19]	3	104
[PD_16]-[PD_20]	86	52
[PD_16]-[PD_21]	86	52
[PD_17]-[PD_18]	14	136
[PD_17]-[PD_19]	1	106
[PD_17]-[PD_20]	17	121
[PD_17]-[PD_21]	17	121
[PD_18]-[PD_19]	0	107
[PD_18]-[PD_20]	40	98
[PD_18]-[PD_21]	40	98
[PD_19]-[PD_20]	1	94
[PD_19]-[PD_21]	1	94
[PD_20]-[PD_21]	0	138
