,drug_combination,cell_line,synergy
174,Lapatinib + Crizotinib,CL40,1.0
175,Lapatinib + Dabrafenib,CL40,0.0
176,Lapatinib + LGK974,CL40,0.0
177,Lapatinib + Linsitinib,CL40,0.0
178,Lapatinib + MK-2206,CL40,1.0
179,Lapatinib + Navitoclax,CL40,0.0
180,Lapatinib + PD173074,CL40,1.0
181,Lapatinib + Palbociclib,CL40,0.0
182,Lapatinib + Pictilisib,CL40,1.0
183,Lapatinib + Taselisib,CL40,0.0
184,Lapatinib + Trametinib,CL40,0.0
185,MK-1775 + Cisplatin,CL40,1.0
186,MK-1775 + Nutlin-3a (-),CL40,1.0
187,MK-1775 + Pictilisib,CL40,1.0
188,MK-2206 + OSI-027,CL40,1.0
189,Navitoclax + Afatinib,CL40,1.0
190,Navitoclax + Axitinib,CL40,1.0
191,Navitoclax + Taselisib,CL40,1.0
192,Navitoclax + Trametinib,CL40,1.0
193,Nilotinib + Trametinib,CL40,1.0
194,Olaparib + MK-1775,CL40,0.0
195,Taselisib + Afatinib,CL40,1.0
196,Taselisib + LGK974,CL40,1.0
197,Taselisib + Linsitinib,CL40,0.0
198,Taselisib + MK-2206,CL40,0.0
199,Taselisib + Navitoclax,CL40,1.0
200,Taselisib + OSI-027,CL40,1.0
201,Taselisib + Olaparib,CL40,1.0
202,Taselisib + Palbociclib,CL40,1.0
203,Taselisib + Sapitinib,CL40,1.0
204,Taselisib + Trametinib,CL40,1.0
205,Trametinib + Afatinib,CL40,0.0
206,Trametinib + LGK974,CL40,0.0
207,Trametinib + Linsitinib,CL40,1.0
208,Trametinib + MK-2206,CL40,1.0
209,Trametinib + Navitoclax,CL40,1.0
210,Trametinib + Olaparib,CL40,1.0
211,Trametinib + Palbociclib,CL40,0.0
212,Trametinib + Pictilisib,CL40,1.0
213,Trametinib + SCH772984,CL40,0.0
214,Trametinib + Taselisib,CL40,1.0
215,AZD7762 + Cisplatin,COLO205,1.0
216,AZD7762 + MK-1775,COLO205,1.0
217,Lapatinib + Crizotinib,COLO205,0.0
218,Lapatinib + Dabrafenib,COLO205,0.0
219,Lapatinib + LGK974,COLO205,0.0
220,Lapatinib + Linsitinib,COLO205,0.0
221,Lapatinib + MK-2206,COLO205,1.0
222,Lapatinib + Navitoclax,COLO205,1.0
223,Lapatinib + PD173074,COLO205,1.0
224,Lapatinib + Palbociclib,COLO205,0.0
225,Lapatinib + Pictilisib,COLO205,0.0
226,Lapatinib + Taselisib,COLO205,0.0
227,Lapatinib + Trametinib,COLO205,1.0
228,MK-1775 + Cisplatin,COLO205,1.0
229,MK-1775 + Nutlin-3a (-),COLO205,1.0
230,MK-1775 + Pictilisib,COLO205,1.0
231,MK-2206 + OSI-027,COLO205,1.0
232,Navitoclax + Afatinib,COLO205,1.0
233,Navitoclax + Axitinib,COLO205,1.0
234,Navitoclax + Taselisib,COLO205,1.0
235,Navitoclax + Trametinib,COLO205,1.0
236,Nilotinib + Trametinib,COLO205,1.0
237,Olaparib + MK-1775,COLO205,0.0
238,Taselisib + Afatinib,COLO205,1.0
239,Taselisib + LGK974,COLO205,0.0
240,Taselisib + Linsitinib,COLO205,0.0
241,Taselisib + MK-2206,COLO205,1.0
242,Taselisib + Navitoclax,COLO205,1.0
243,Taselisib + OSI-027,COLO205,1.0
244,Taselisib + Olaparib,COLO205,0.0
245,Taselisib + Palbociclib,COLO205,1.0
246,Taselisib + Sapitinib,COLO205,1.0
247,Taselisib + Trametinib,COLO205,1.0
248,Trametinib + Afatinib,COLO205,1.0
249,Trametinib + LGK974,COLO205,0.0
250,Trametinib + Linsitinib,COLO205,1.0
251,Trametinib + MK-2206,COLO205,1.0
252,Trametinib + Navitoclax,COLO205,1.0
253,Trametinib + Olaparib,COLO205,1.0
254,Trametinib + Palbociclib,COLO205,0.0
255,Trametinib + Pictilisib,COLO205,1.0
256,Trametinib + SCH772984,COLO205,0.0
257,Trametinib + Taselisib,COLO205,1.0
258,AZD7762 + Cisplatin,COLO320HSR,1.0
259,AZD7762 + MK-1775,COLO320HSR,1.0
260,Lapatinib + Crizotinib,COLO320HSR,1.0
261,Lapatinib + Dabrafenib,COLO320HSR,1.0
262,Lapatinib + LGK974,COLO320HSR,1.0
263,Lapatinib + Linsitinib,COLO320HSR,1.0
264,Lapatinib + MK-2206,COLO320HSR,1.0
265,Lapatinib + Navitoclax,COLO320HSR,1.0
266,Lapatinib + PD173074,COLO320HSR,1.0
267,Lapatinib + Palbociclib,COLO320HSR,1.0
268,Lapatinib + Pictilisib,COLO320HSR,1.0
269,Lapatinib + Taselisib,COLO320HSR,1.0
270,Lapatinib + Trametinib,COLO320HSR,1.0
271,MK-1775 + Cisplatin,COLO320HSR,0.0
272,MK-1775 + Nutlin-3a (-),COLO320HSR,1.0
273,MK-1775 + Pictilisib,COLO320HSR,0.0
274,MK-2206 + OSI-027,COLO320HSR,1.0
275,Navitoclax + Afatinib,COLO320HSR,0.0
276,Navitoclax + Axitinib,COLO320HSR,1.0
277,Navitoclax + Taselisib,COLO320HSR,1.0
278,Navitoclax + Trametinib,COLO320HSR,1.0
279,Nilotinib + Trametinib,COLO320HSR,1.0
280,Olaparib + MK-1775,COLO320HSR,0.0
281,Taselisib + Afatinib,COLO320HSR,1.0
282,Taselisib + LGK974,COLO320HSR,1.0
283,Taselisib + Linsitinib,COLO320HSR,0.0
284,Taselisib + MK-2206,COLO320HSR,0.0
285,Taselisib + Navitoclax,COLO320HSR,1.0
286,Taselisib + OSI-027,COLO320HSR,1.0
287,Taselisib + Olaparib,COLO320HSR,0.0
288,Taselisib + Palbociclib,COLO320HSR,1.0
289,Taselisib + Sapitinib,COLO320HSR,0.0
290,Taselisib + Trametinib,COLO320HSR,1.0
291,Trametinib + Afatinib,COLO320HSR,1.0
292,Trametinib + LGK974,COLO320HSR,0.0
293,Trametinib + Linsitinib,COLO320HSR,1.0
294,Trametinib + MK-2206,COLO320HSR,0.0
295,Trametinib + Navitoclax,COLO320HSR,0.0
296,Trametinib + Olaparib,COLO320HSR,0.0
297,Trametinib + Palbociclib,COLO320HSR,0.0
298,Trametinib + Pictilisib,COLO320HSR,1.0
299,Trametinib + SCH772984,COLO320HSR,0.0
300,Trametinib + Taselisib,COLO320HSR,1.0
301,AZD7762 + Cisplatin,COLO678,0.0
302,AZD7762 + MK-1775,COLO678,1.0
303,Lapatinib + Crizotinib,COLO678,0.0
304,Lapatinib + Dabrafenib,COLO678,0.0
305,Lapatinib + LGK974,COLO678,0.0
306,Lapatinib + Linsitinib,COLO678,0.0
307,Lapatinib + MK-2206,COLO678,0.0
308,Lapatinib + Navitoclax,COLO678,0.0
309,Lapatinib + PD173074,COLO678,1.0
310,Lapatinib + Palbociclib,COLO678,0.0
311,Lapatinib + Pictilisib,COLO678,1.0
312,Lapatinib + Taselisib,COLO678,0.0
313,Lapatinib + Trametinib,COLO678,0.0
314,MK-1775 + Cisplatin,COLO678,1.0
315,MK-1775 + Nutlin-3a (-),COLO678,0.0
316,MK-1775 + Pictilisib,COLO678,1.0
317,MK-2206 + OSI-027,COLO678,1.0
318,Navitoclax + Afatinib,COLO678,1.0
319,Navitoclax + Axitinib,COLO678,1.0
320,Navitoclax + Taselisib,COLO678,0.0
321,Navitoclax + Trametinib,COLO678,0.0
322,Nilotinib + Trametinib,COLO678,1.0
323,Olaparib + MK-1775,COLO678,0.0
324,Taselisib + Afatinib,COLO678,0.0
325,Taselisib + LGK974,COLO678,0.0
326,Taselisib + Linsitinib,COLO678,0.0
327,Taselisib + MK-2206,COLO678,0.0
328,Taselisib + Navitoclax,COLO678,0.0
329,Taselisib + OSI-027,COLO678,0.0
330,Taselisib + Olaparib,COLO678,0.0
331,Taselisib + Palbociclib,COLO678,0.0
332,Taselisib + Sapitinib,COLO678,0.0
333,Taselisib + Trametinib,COLO678,0.0
334,Trametinib + Afatinib,COLO678,0.0
335,Trametinib + LGK974,COLO678,0.0
336,Trametinib + Linsitinib,COLO678,0.0
337,Trametinib + MK-2206,COLO678,1.0
338,Trametinib + Navitoclax,COLO678,0.0
339,Trametinib + Olaparib,COLO678,1.0
340,Trametinib + Palbociclib,COLO678,0.0
341,Trametinib + Pictilisib,COLO678,1.0
342,Trametinib + SCH772984,COLO678,0.0
343,Trametinib + Taselisib,COLO678,0.0
344,AZD7762 + Cisplatin,CW2,0.0
345,AZD7762 + MK-1775,CW2,1.0
346,Lapatinib + Crizotinib,CW2,1.0
347,Lapatinib + Dabrafenib,CW2,0.0
348,Lapatinib + LGK974,CW2,0.0
349,Lapatinib + Linsitinib,CW2,1.0
350,Lapatinib + MK-2206,CW2,1.0
351,Lapatinib + Navitoclax,CW2,1.0
352,Lapatinib + PD173074,CW2,1.0
353,Lapatinib + Palbociclib,CW2,0.0
354,Lapatinib + Pictilisib,CW2,0.0
355,Lapatinib + Taselisib,CW2,1.0
356,Lapatinib + Trametinib,CW2,0.0
357,MK-1775 + Cisplatin,CW2,0.0
358,MK-1775 + Nutlin-3a (-),CW2,0.0
359,MK-1775 + Pictilisib,CW2,0.0
360,MK-2206 + OSI-027,CW2,1.0
361,Navitoclax + Afatinib,CW2,1.0
362,Navitoclax + Axitinib,CW2,1.0
363,Navitoclax + Taselisib,CW2,1.0
364,Navitoclax + Trametinib,CW2,1.0
365,Nilotinib + Trametinib,CW2,1.0
366,Olaparib + MK-1775,CW2,0.0
367,Taselisib + Afatinib,CW2,1.0
368,Taselisib + LGK974,CW2,1.0
369,Taselisib + Linsitinib,CW2,1.0
370,Taselisib + MK-2206,CW2,0.0
371,Taselisib + Navitoclax,CW2,0.0
372,Taselisib + OSI-027,CW2,0.0
373,Taselisib + Olaparib,CW2,0.0
374,Taselisib + Palbociclib,CW2,1.0
375,Taselisib + Sapitinib,CW2,0.0
376,Taselisib + Trametinib,CW2,1.0
377,Trametinib + Afatinib,CW2,1.0
378,Trametinib + LGK974,CW2,0.0
379,Trametinib + Linsitinib,CW2,1.0
380,Trametinib + MK-2206,CW2,1.0
381,Trametinib + Navitoclax,CW2,1.0
382,Trametinib + Olaparib,CW2,1.0
383,Trametinib + Palbociclib,CW2,0.0
384,Trametinib + Pictilisib,CW2,1.0
385,Trametinib + SCH772984,CW2,0.0
386,Trametinib + Taselisib,CW2,1.0
387,AZD7762 + Cisplatin,DIFI,1.0
388,AZD7762 + MK-1775,DIFI,1.0
389,Lapatinib + Crizotinib,DIFI,1.0
390,Lapatinib + Dabrafenib,DIFI,1.0
391,Lapatinib + LGK974,DIFI,1.0
392,Lapatinib + Linsitinib,DIFI,1.0
393,Lapatinib + MK-2206,DIFI,1.0
394,Lapatinib + Navitoclax,DIFI,1.0
395,Lapatinib + PD173074,DIFI,1.0
396,Lapatinib + Palbociclib,DIFI,0.0
397,Lapatinib + Pictilisib,DIFI,1.0
398,Lapatinib + Taselisib,DIFI,0.0
399,Lapatinib + Trametinib,DIFI,0.0
