,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
61,MK-1775,Cisplatin,PD_14,PD_01,LS180,0,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
62,MK-1775,Cisplatin,PD_14,PD_01,LS411N,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
63,MK-1775,Cisplatin,PD_14,PD_01,LS513,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
64,MK-1775,Cisplatin,PD_14,PD_01,LOVO,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
65,MK-1775,Cisplatin,PD_14,PD_01,MDST8,0,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
66,MK-1775,Cisplatin,PD_14,PD_01,NCIH716,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
67,MK-1775,Cisplatin,PD_14,PD_01,NCIH747,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
68,MK-1775,Cisplatin,PD_14,PD_01,RCM1,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
69,MK-1775,Cisplatin,PD_14,PD_01,RKO,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
70,MK-1775,Cisplatin,PD_14,PD_01,SKCO1,0,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
71,MK-1775,Cisplatin,PD_14,PD_01,SNU175,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
72,MK-1775,Cisplatin,PD_14,PD_01,SNU407,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
73,MK-1775,Cisplatin,PD_14,PD_01,SNU61,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
74,MK-1775,Cisplatin,PD_14,PD_01,SNUC1,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
75,MK-1775,Cisplatin,PD_14,PD_01,SNUC2B,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
76,MK-1775,Cisplatin,PD_14,PD_01,SNUC5,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
