,inhibitor_combination,cell_line,synergy
182,MEKi + ErrBi,CL40,0.0
183,MEKi + IGFRi,CL40,1.0
184,MEKi + PARPi,CL40,1.0
185,MEKi + PI3Ki,CL40,1.0
186,MEKi + PORCNi,CL40,0.0
187,PARPi + WEE1i,CL40,0.0
188,PI3Ki + AKTi,CL40,0.0
189,PI3Ki + BCL2i,CL40,1.0
190,PI3Ki + CDKi,CL40,1.0
191,PI3Ki + ErrBi,CL40,1.0
192,PI3Ki + IGFRi,CL40,0.0
193,PI3Ki + MEKi,CL40,1.0
194,PI3Ki + MTORi,CL40,1.0
195,PI3Ki + PARPi,CL40,1.0
196,PI3Ki + PORCNi,CL40,1.0
197,WEE1i + ATMa,CL40,1.0
198,WEE1i + MDM2i,CL40,1.0
199,WEE1i + PI3Ki,CL40,1.0
200,ABL1i + MEKi,COLO205,1.0
201,AKTi + MTORi,COLO205,1.0
202,BCL2i + EGFRi,COLO205,1.0
203,BCL2i + ErrBi,COLO205,1.0
204,BCL2i + MEKi,COLO205,1.0
205,BCL2i + PI3Ki,COLO205,1.0
206,CHEKi + ATMa,COLO205,1.0
207,CHEKi + WEE1i,COLO205,1.0
208,ErrBi + AKTi,COLO205,1.0
209,ErrBi + BCL2i,COLO205,1.0
210,ErrBi + CDKi,COLO205,0.0
211,ErrBi + FGFRi,COLO205,1.0
212,ErrBi + IGFRi,COLO205,0.0
213,ErrBi + MEKi,COLO205,1.0
214,ErrBi + METi,COLO205,0.0
215,ErrBi + PI3Ki,COLO205,0.0
216,ErrBi + PORCNi,COLO205,0.0
217,ErrBi + RAFi,COLO205,0.0
218,MEKi + AKTi,COLO205,1.0
219,MEKi + BCL2i,COLO205,1.0
220,MEKi + CDKi,COLO205,0.0
221,MEKi + ERKi,COLO205,0.0
222,MEKi + ErrBi,COLO205,1.0
223,MEKi + IGFRi,COLO205,1.0
224,MEKi + PARPi,COLO205,1.0
225,MEKi + PI3Ki,COLO205,1.0
226,MEKi + PORCNi,COLO205,0.0
227,PARPi + WEE1i,COLO205,0.0
228,PI3Ki + AKTi,COLO205,1.0
229,PI3Ki + BCL2i,COLO205,1.0
230,PI3Ki + CDKi,COLO205,1.0
231,PI3Ki + ErrBi,COLO205,1.0
232,PI3Ki + IGFRi,COLO205,0.0
233,PI3Ki + MEKi,COLO205,1.0
234,PI3Ki + MTORi,COLO205,1.0
235,PI3Ki + PARPi,COLO205,0.0
236,PI3Ki + PORCNi,COLO205,0.0
237,WEE1i + ATMa,COLO205,1.0
238,WEE1i + MDM2i,COLO205,1.0
239,WEE1i + PI3Ki,COLO205,1.0
240,ABL1i + MEKi,COLO320HSR,1.0
241,AKTi + MTORi,COLO320HSR,1.0
242,BCL2i + EGFRi,COLO320HSR,1.0
243,BCL2i + ErrBi,COLO320HSR,0.0
244,BCL2i + MEKi,COLO320HSR,1.0
245,BCL2i + PI3Ki,COLO320HSR,1.0
246,CHEKi + ATMa,COLO320HSR,1.0
247,CHEKi + WEE1i,COLO320HSR,1.0
248,ErrBi + AKTi,COLO320HSR,1.0
249,ErrBi + BCL2i,COLO320HSR,1.0
250,ErrBi + CDKi,COLO320HSR,1.0
251,ErrBi + FGFRi,COLO320HSR,1.0
252,ErrBi + IGFRi,COLO320HSR,1.0
253,ErrBi + MEKi,COLO320HSR,1.0
254,ErrBi + METi,COLO320HSR,1.0
255,ErrBi + PI3Ki,COLO320HSR,1.0
256,ErrBi + PORCNi,COLO320HSR,1.0
257,ErrBi + RAFi,COLO320HSR,1.0
258,MEKi + AKTi,COLO320HSR,0.0
259,MEKi + BCL2i,COLO320HSR,0.0
260,MEKi + CDKi,COLO320HSR,0.0
261,MEKi + ERKi,COLO320HSR,0.0
262,MEKi + ErrBi,COLO320HSR,1.0
263,MEKi + IGFRi,COLO320HSR,1.0
264,MEKi + PARPi,COLO320HSR,0.0
265,MEKi + PI3Ki,COLO320HSR,1.0
266,MEKi + PORCNi,COLO320HSR,0.0
267,PARPi + WEE1i,COLO320HSR,0.0
268,PI3Ki + AKTi,COLO320HSR,0.0
269,PI3Ki + BCL2i,COLO320HSR,1.0
270,PI3Ki + CDKi,COLO320HSR,1.0
271,PI3Ki + ErrBi,COLO320HSR,0.5
272,PI3Ki + IGFRi,COLO320HSR,0.0
273,PI3Ki + MEKi,COLO320HSR,1.0
274,PI3Ki + MTORi,COLO320HSR,1.0
275,PI3Ki + PARPi,COLO320HSR,0.0
276,PI3Ki + PORCNi,COLO320HSR,1.0
277,WEE1i + ATMa,COLO320HSR,0.0
278,WEE1i + MDM2i,COLO320HSR,1.0
279,WEE1i + PI3Ki,COLO320HSR,0.0
280,ABL1i + MEKi,COLO678,1.0
281,AKTi + MTORi,COLO678,1.0
282,BCL2i + EGFRi,COLO678,1.0
283,BCL2i + ErrBi,COLO678,1.0
284,BCL2i + MEKi,COLO678,0.0
285,BCL2i + PI3Ki,COLO678,0.0
286,CHEKi + ATMa,COLO678,0.0
287,CHEKi + WEE1i,COLO678,1.0
288,ErrBi + AKTi,COLO678,0.0
289,ErrBi + BCL2i,COLO678,0.0
290,ErrBi + CDKi,COLO678,0.0
291,ErrBi + FGFRi,COLO678,1.0
292,ErrBi + IGFRi,COLO678,0.0
293,ErrBi + MEKi,COLO678,0.0
294,ErrBi + METi,COLO678,0.0
295,ErrBi + PI3Ki,COLO678,0.5
296,ErrBi + PORCNi,COLO678,0.0
297,ErrBi + RAFi,COLO678,0.0
298,MEKi + AKTi,COLO678,1.0
299,MEKi + BCL2i,COLO678,0.0
300,MEKi + CDKi,COLO678,0.0
301,MEKi + ERKi,COLO678,0.0
302,MEKi + ErrBi,COLO678,0.0
303,MEKi + IGFRi,COLO678,0.0
304,MEKi + PARPi,COLO678,1.0
305,MEKi + PI3Ki,COLO678,0.5
306,MEKi + PORCNi,COLO678,0.0
307,PARPi + WEE1i,COLO678,0.0
308,PI3Ki + AKTi,COLO678,0.0
309,PI3Ki + BCL2i,COLO678,0.0
310,PI3Ki + CDKi,COLO678,0.0
311,PI3Ki + ErrBi,COLO678,0.0
312,PI3Ki + IGFRi,COLO678,0.0
313,PI3Ki + MEKi,COLO678,0.0
314,PI3Ki + MTORi,COLO678,0.0
315,PI3Ki + PARPi,COLO678,0.0
316,PI3Ki + PORCNi,COLO678,0.0
317,WEE1i + ATMa,COLO678,1.0
318,WEE1i + MDM2i,COLO678,0.0
319,WEE1i + PI3Ki,COLO678,1.0
320,ABL1i + MEKi,CW2,1.0
321,AKTi + MTORi,CW2,1.0
322,BCL2i + EGFRi,CW2,1.0
323,BCL2i + ErrBi,CW2,1.0
324,BCL2i + MEKi,CW2,1.0
325,BCL2i + PI3Ki,CW2,1.0
326,CHEKi + ATMa,CW2,0.0
327,CHEKi + WEE1i,CW2,1.0
328,ErrBi + AKTi,CW2,1.0
329,ErrBi + BCL2i,CW2,1.0
330,ErrBi + CDKi,CW2,0.0
331,ErrBi + FGFRi,CW2,1.0
332,ErrBi + IGFRi,CW2,1.0
333,ErrBi + MEKi,CW2,0.0
334,ErrBi + METi,CW2,1.0
335,ErrBi + PI3Ki,CW2,0.5
336,ErrBi + PORCNi,CW2,0.0
337,ErrBi + RAFi,CW2,0.0
338,MEKi + AKTi,CW2,1.0
339,MEKi + BCL2i,CW2,1.0
340,MEKi + CDKi,CW2,0.0
341,MEKi + ERKi,CW2,0.0
342,MEKi + ErrBi,CW2,1.0
343,MEKi + IGFRi,CW2,1.0
344,MEKi + PARPi,CW2,1.0
345,MEKi + PI3Ki,CW2,1.0
346,MEKi + PORCNi,CW2,0.0
347,PARPi + WEE1i,CW2,0.0
348,PI3Ki + AKTi,CW2,0.0
349,PI3Ki + BCL2i,CW2,0.0
350,PI3Ki + CDKi,CW2,1.0
351,PI3Ki + ErrBi,CW2,0.5
352,PI3Ki + IGFRi,CW2,1.0
353,PI3Ki + MEKi,CW2,1.0
354,PI3Ki + MTORi,CW2,0.0
355,PI3Ki + PARPi,CW2,0.0
356,PI3Ki + PORCNi,CW2,1.0
357,WEE1i + ATMa,CW2,0.0
358,WEE1i + MDM2i,CW2,0.0
359,WEE1i + PI3Ki,CW2,0.0
360,ABL1i + MEKi,DIFI,1.0
361,AKTi + MTORi,DIFI,1.0
362,BCL2i + EGFRi,DIFI,1.0
363,BCL2i + ErrBi,DIFI,1.0
364,BCL2i + MEKi,DIFI,1.0
365,BCL2i + PI3Ki,DIFI,1.0
366,CHEKi + ATMa,DIFI,1.0
367,CHEKi + WEE1i,DIFI,1.0
368,ErrBi + AKTi,DIFI,1.0
369,ErrBi + BCL2i,DIFI,1.0
370,ErrBi + CDKi,DIFI,0.0
371,ErrBi + FGFRi,DIFI,1.0
372,ErrBi + IGFRi,DIFI,1.0
373,ErrBi + MEKi,DIFI,0.0
374,ErrBi + METi,DIFI,1.0
375,ErrBi + PI3Ki,DIFI,0.5
376,ErrBi + PORCNi,DIFI,1.0
377,ErrBi + RAFi,DIFI,1.0
378,MEKi + AKTi,DIFI,1.0
379,MEKi + BCL2i,DIFI,1.0
380,MEKi + CDKi,DIFI,0.0
381,MEKi + ERKi,DIFI,1.0
382,MEKi + ErrBi,DIFI,0.0
383,MEKi + IGFRi,DIFI,1.0
384,MEKi + PARPi,DIFI,
385,MEKi + PI3Ki,DIFI,1.0
386,MEKi + PORCNi,DIFI,1.0
387,PARPi + WEE1i,DIFI,0.0
388,PI3Ki + AKTi,DIFI,1.0
