drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
Prexasertib,MK-1775,NCI-H508,20.4678646,PD_18,PD_12
Prexasertib,Niraparib,NCI-H508,-7.137621116,PD_18,PD_14
Prexasertib,Olaparib,NCI-H508,2.796515242,PD_18,PD_14
Prexasertib,Palbociclib,NCI-H508,-14.90277523,PD_18,PD_16
Prexasertib,PF-3644022,NCI-H508,1.848652622,PD_18,PD_17
Torin 1,Capivasertib,NCI-H508,13.20568407,PD_08,PD_03
Torin 1,Ipatasertib,NCI-H508,7.778042723,PD_08,PD_03
Torin 1,Lapatinib,NCI-H508,9.727518505,PD_08,PD_11
Torin 1,Navitoclax,NCI-H508,25.11510262,PD_08,PD_13
Torin 1,Neratinib,NCI-H508,9.79876015,PD_08,PD_11
Torin 1,Obatoclax,NCI-H508,13.68948552,PD_08,PD_15
Torin 1,Oxaliplatin,NCI-H508,8.929133799,PD_08,
Torin 1,Palbociclib,NCI-H508,12.53973627,PD_08,PD_16
Torin 1,SN-38,NCI-H508,14.34467649,PD_08,
Torin 1,Ulixertinib,NCI-H508,12.74240127,PD_08,PD_21
AZD-8055,Capivasertib,NCI-H716,11.7102873,PD_02,PD_03
AZD-8055,Ipatasertib,NCI-H716,6.51080794,PD_02,PD_03
AZD-8055,Lapatinib,NCI-H716,6.927422095,PD_02,PD_11
AZD-8055,Navitoclax,NCI-H716,33.77740792,PD_02,PD_13
AZD-8055,Neratinib,NCI-H716,-1.547252128,PD_02,PD_11
AZD-8055,Obatoclax,NCI-H716,7.913572326,PD_02,PD_15
AZD-8055,Oxaliplatin,NCI-H716,-9.128841157,PD_02,
AZD-8055,Palbociclib,NCI-H716,-3.541904063,PD_02,PD_16
AZD-8055,SN-38,NCI-H716,17.18040291,PD_02,
AZD-8055,Ulixertinib,NCI-H716,10.78640251,PD_02,PD_21
Capivasertib,Lapatinib,NCI-H716,23.01587268,PD_03,PD_11
Capivasertib,Neratinib,NCI-H716,10.14585583,PD_03,PD_11
Everolimus,Capivasertib,NCI-H716,19.04292697,PD_08,PD_03
Everolimus,Ipatasertib,NCI-H716,14.81865274,PD_08,PD_03
Everolimus,Lapatinib,NCI-H716,14.35239411,PD_08,PD_11
Everolimus,Navitoclax,NCI-H716,37.05498945,PD_08,PD_13
Everolimus,Neratinib,NCI-H716,2.891922193,PD_08,PD_11
Everolimus,Obatoclax,NCI-H716,23.49582239,PD_08,PD_15
Everolimus,Oxaliplatin,NCI-H716,6.662027803,PD_08,
Everolimus,Palbociclib,NCI-H716,13.68606742,PD_08,PD_16
Everolimus,SN-38,NCI-H716,22.8976862,PD_08,
Everolimus,Ulixertinib,NCI-H716,19.20340652,PD_08,PD_21
Ipatasertib,Lapatinib,NCI-H716,7.960400019,PD_03,PD_11
Ipatasertib,Neratinib,NCI-H716,5.047685935,PD_03,PD_11
PF-477736,MK-1775,NCI-H716,16.57541196,PD_18,PD_12
PF-477736,Niraparib,NCI-H716,-4.027168729,PD_18,PD_14
PF-477736,Olaparib,NCI-H716,-6.472093151,PD_18,PD_14
PF-477736,Palbociclib,NCI-H716,6.074380095,PD_18,PD_16
PF-477736,PF-3644022,NCI-H716,6.616348642,PD_18,PD_17
Prexasertib,MK-1775,NCI-H716,13.85641533,PD_18,PD_12
Prexasertib,Niraparib,NCI-H716,-15.29654483,PD_18,PD_14
Prexasertib,Olaparib,NCI-H716,-17.03203743,PD_18,PD_14
Prexasertib,Palbociclib,NCI-H716,-17.1473225,PD_18,PD_16
Prexasertib,PF-3644022,NCI-H716,-10.62747686,PD_18,PD_17
Torin 1,Capivasertib,NCI-H716,13.16731965,PD_08,PD_03
Torin 1,Ipatasertib,NCI-H716,10.32559586,PD_08,PD_03
Torin 1,Lapatinib,NCI-H716,12.40652138,PD_08,PD_11
Torin 1,Navitoclax,NCI-H716,25.80577742,PD_08,PD_13
Torin 1,Neratinib,NCI-H716,0.702079936,PD_08,PD_11
Torin 1,Obatoclax,NCI-H716,16.6158201,PD_08,PD_15
Torin 1,Oxaliplatin,NCI-H716,10.03063804,PD_08,
Torin 1,Palbociclib,NCI-H716,9.418128373,PD_08,PD_16
Torin 1,SN-38,NCI-H716,19.80602802,PD_08,
Torin 1,Ulixertinib,NCI-H716,22.50956649,PD_08,PD_21
AZD-8055,Capivasertib,NCI-H747,8.782489377,PD_02,PD_03
AZD-8055,Ipatasertib,NCI-H747,6.411991059,PD_02,PD_03
AZD-8055,Lapatinib,NCI-H747,9.72789885,PD_02,PD_11
AZD-8055,Navitoclax,NCI-H747,8.326031374,PD_02,PD_13
AZD-8055,Neratinib,NCI-H747,6.632716063,PD_02,PD_11
AZD-8055,Obatoclax,NCI-H747,8.162864264,PD_02,PD_15
AZD-8055,Oxaliplatin,NCI-H747,-0.064349177,PD_02,
AZD-8055,Palbociclib,NCI-H747,-1.990159784,PD_02,PD_16
AZD-8055,SN-38,NCI-H747,8.558020595,PD_02,
AZD-8055,Ulixertinib,NCI-H747,11.1011702,PD_02,PD_21
Capivasertib,Lapatinib,NCI-H747,17.07333697,PD_03,PD_11
Capivasertib,Neratinib,NCI-H747,22.22890596,PD_03,PD_11
Everolimus,Capivasertib,NCI-H747,15.65867861,PD_08,PD_03
Everolimus,Ipatasertib,NCI-H747,14.61279642,PD_08,PD_03
Everolimus,Lapatinib,NCI-H747,9.843448728,PD_08,PD_11
Everolimus,Navitoclax,NCI-H747,10.47334336,PD_08,PD_13
Everolimus,Neratinib,NCI-H747,13.31140522,PD_08,PD_11
Everolimus,Obatoclax,NCI-H747,25.73954041,PD_08,PD_15
Everolimus,Oxaliplatin,NCI-H747,5.042910182,PD_08,
Everolimus,Palbociclib,NCI-H747,6.82589723,PD_08,PD_16
Everolimus,SN-38,NCI-H747,14.37617632,PD_08,
Everolimus,Ulixertinib,NCI-H747,13.01384223,PD_08,PD_21
Ipatasertib,Lapatinib,NCI-H747,18.02310985,PD_03,PD_11
Ipatasertib,Neratinib,NCI-H747,19.96852811,PD_03,PD_11
PF-477736,MK-1775,NCI-H747,-2.550416544,PD_18,PD_12
PF-477736,Niraparib,NCI-H747,-1.603318793,PD_18,PD_14
PF-477736,Olaparib,NCI-H747,-3.792425151,PD_18,PD_14
PF-477736,Palbociclib,NCI-H747,-12.85391004,PD_18,PD_16
PF-477736,PF-3644022,NCI-H747,-11.61994761,PD_18,PD_17
Prexasertib,MK-1775,NCI-H747,9.047794061,PD_18,PD_12
Prexasertib,Niraparib,NCI-H747,0.73778724,PD_18,PD_14
Prexasertib,Olaparib,NCI-H747,1.922283458,PD_18,PD_14
Prexasertib,Palbociclib,NCI-H747,-8.090788519,PD_18,PD_16
Prexasertib,PF-3644022,NCI-H747,-2.212382303,PD_18,PD_17
Torin 1,Capivasertib,NCI-H747,10.63717994,PD_08,PD_03
Torin 1,Ipatasertib,NCI-H747,10.4158272,PD_08,PD_03
Torin 1,Lapatinib,NCI-H747,10.52437493,PD_08,PD_11
Torin 1,Navitoclax,NCI-H747,8.613168232,PD_08,PD_13
Torin 1,Neratinib,NCI-H747,9.196641522,PD_08,PD_11
Torin 1,Obatoclax,NCI-H747,12.10425255,PD_08,PD_15
Torin 1,Oxaliplatin,NCI-H747,2.427626785,PD_08,
Torin 1,Palbociclib,NCI-H747,2.318124683,PD_08,PD_16
Torin 1,SN-38,NCI-H747,9.888982076,PD_08,
Torin 1,Ulixertinib,NCI-H747,11.30109969,PD_08,PD_21
AZD-8055,Capivasertib,SNU-81,5.875838711,PD_02,PD_03
AZD-8055,Ipatasertib,SNU-81,4.220303947,PD_02,PD_03
