drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Trametinib,Afatinib,PD_08,PD_03,CL11,1
Trametinib,Afatinib,PD_08,PD_03,CL40,0
Trametinib,Afatinib,PD_08,PD_03,COLO205,1
Trametinib,Afatinib,PD_08,PD_03,COLO320HSR,1
Trametinib,Afatinib,PD_08,PD_03,COLO678,0
Trametinib,Afatinib,PD_08,PD_03,CW2,1
Trametinib,Afatinib,PD_08,PD_03,CAR1,1
Trametinib,Afatinib,PD_08,PD_03,DIFI,0
Trametinib,Afatinib,PD_08,PD_03,GP5D,1
Trametinib,Afatinib,PD_08,PD_03,HCC2998,1
Trametinib,Afatinib,PD_08,PD_03,HCT116,1
Trametinib,Afatinib,PD_08,PD_03,HCT15,1
Trametinib,Afatinib,PD_08,PD_03,HT29,1
Trametinib,Afatinib,PD_08,PD_03,HT55,0
Trametinib,Afatinib,PD_08,PD_03,KM12,0
Trametinib,Afatinib,PD_08,PD_03,LS123,1
Trametinib,Afatinib,PD_08,PD_03,LS180,1
Trametinib,Afatinib,PD_08,PD_03,LS411N,1
Trametinib,Afatinib,PD_08,PD_03,LS513,1
Trametinib,Afatinib,PD_08,PD_03,LOVO,1
Trametinib,Afatinib,PD_08,PD_03,MDST8,1
Trametinib,Afatinib,PD_08,PD_03,NCIH716,1
Trametinib,Afatinib,PD_08,PD_03,NCIH747,1
Trametinib,Afatinib,PD_08,PD_03,RCM1,1
Trametinib,Afatinib,PD_08,PD_03,RKO,1
Trametinib,Afatinib,PD_08,PD_03,SKCO1,1
Trametinib,Afatinib,PD_08,PD_03,SNU175,0
Trametinib,Afatinib,PD_08,PD_03,SNU407,1
Trametinib,Afatinib,PD_08,PD_03,SNU61,1
Trametinib,Afatinib,PD_08,PD_03,SNUC1,0
Trametinib,Afatinib,PD_08,PD_03,SNUC2B,0
Trametinib,Afatinib,PD_08,PD_03,SNUC5,1
Trametinib,Afatinib,PD_08,PD_03,SW1116,1
Trametinib,Afatinib,PD_08,PD_03,SW1417,1
Trametinib,Afatinib,PD_08,PD_03,SW1463,1
Trametinib,Afatinib,PD_08,PD_03,SW48,1
Trametinib,Afatinib,PD_08,PD_03,SW620,0
Trametinib,Afatinib,PD_08,PD_03,SW626,1
Trametinib,Afatinib,PD_08,PD_03,SW837,1
Trametinib,Afatinib,PD_08,PD_03,SW948,1
Trametinib,Afatinib,PD_08,PD_03,T84,1
Taselisib,Afatinib,PD_07,PD_03,C2BBE1,1
Taselisib,Afatinib,PD_07,PD_03,CCK81,1
Taselisib,Afatinib,PD_07,PD_03,CL11,0
Taselisib,Afatinib,PD_07,PD_03,CL40,1
Taselisib,Afatinib,PD_07,PD_03,COLO205,1
Taselisib,Afatinib,PD_07,PD_03,COLO320HSR,1
Taselisib,Afatinib,PD_07,PD_03,COLO678,0
Taselisib,Afatinib,PD_07,PD_03,CW2,1
Taselisib,Afatinib,PD_07,PD_03,CAR1,1
Taselisib,Afatinib,PD_07,PD_03,DIFI,0
Taselisib,Afatinib,PD_07,PD_03,GP5D,0
Taselisib,Afatinib,PD_07,PD_03,HCC2998,1
Taselisib,Afatinib,PD_07,PD_03,HCT116,1
Taselisib,Afatinib,PD_07,PD_03,HCT15,1
Taselisib,Afatinib,PD_07,PD_03,HT29,1
Taselisib,Afatinib,PD_07,PD_03,HT55,1
Taselisib,Afatinib,PD_07,PD_03,KM12,0
Taselisib,Afatinib,PD_07,PD_03,LS123,1
Taselisib,Afatinib,PD_07,PD_03,LS180,1
Taselisib,Afatinib,PD_07,PD_03,LS411N,0
Taselisib,Afatinib,PD_07,PD_03,LS513,1
Taselisib,Afatinib,PD_07,PD_03,LOVO,1
Taselisib,Afatinib,PD_07,PD_03,MDST8,0
Taselisib,Afatinib,PD_07,PD_03,NCIH716,0
Taselisib,Afatinib,PD_07,PD_03,NCIH747,1
