drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Lapatinib,Crizotinib,PD_07,PD_13,LB831BLC,1
Lapatinib,Crizotinib,PD_07,PD_13,RT112,1
Lapatinib,Crizotinib,PD_07,PD_13,RT4,1
Lapatinib,Crizotinib,PD_07,PD_13,SW1710,1
Lapatinib,Crizotinib,PD_07,PD_13,SW780,1
Lapatinib,Crizotinib,PD_07,PD_13,TCCSUP,0
Lapatinib,Crizotinib,PD_07,PD_13,UMUC3,1
Lapatinib,Crizotinib,PD_07,PD_13,VMCUB1,1
Olaparib,MK-1775,PD_04,PD_14,5637,1
Olaparib,MK-1775,PD_04,PD_14,639V,1
Olaparib,MK-1775,PD_04,PD_14,647V,1
Olaparib,MK-1775,PD_04,PD_14,BFTC905,1
Olaparib,MK-1775,PD_04,PD_14,CAL29,1
Olaparib,MK-1775,PD_04,PD_14,DSH1,0
Olaparib,MK-1775,PD_04,PD_14,HT1197,1
Olaparib,MK-1775,PD_04,PD_14,HT1376,1
Olaparib,MK-1775,PD_04,PD_14,J82,1
Olaparib,MK-1775,PD_04,PD_14,KU1919,0
Olaparib,MK-1775,PD_04,PD_14,LB831BLC,1
Olaparib,MK-1775,PD_04,PD_14,RT112,1
Olaparib,MK-1775,PD_04,PD_14,RT4,1
Olaparib,MK-1775,PD_04,PD_14,SW1710,1
Olaparib,MK-1775,PD_04,PD_14,SW780,0
Olaparib,MK-1775,PD_04,PD_14,TCCSUP,0
Olaparib,MK-1775,PD_04,PD_14,UMUC3,1
Olaparib,MK-1775,PD_04,PD_14,VMCUB1,1
AZD7762,MK-1775,PD_06,PD_14,5637,1
AZD7762,MK-1775,PD_06,PD_14,639V,1
AZD7762,MK-1775,PD_06,PD_14,647V,1
AZD7762,MK-1775,PD_06,PD_14,BFTC905,1
AZD7762,MK-1775,PD_06,PD_14,CAL29,1
AZD7762,MK-1775,PD_06,PD_14,DSH1,1
AZD7762,MK-1775,PD_06,PD_14,HT1197,1
AZD7762,MK-1775,PD_06,PD_14,HT1376,1
AZD7762,MK-1775,PD_06,PD_14,J82,1
AZD7762,MK-1775,PD_06,PD_14,KU1919,1
AZD7762,MK-1775,PD_06,PD_14,LB831BLC,1
AZD7762,MK-1775,PD_06,PD_14,RT112,1
AZD7762,MK-1775,PD_06,PD_14,RT4,1
AZD7762,MK-1775,PD_06,PD_14,SW1710,1
AZD7762,MK-1775,PD_06,PD_14,SW780,0
AZD7762,MK-1775,PD_06,PD_14,TCCSUP,1
AZD7762,MK-1775,PD_06,PD_14,UMUC3,1
AZD7762,MK-1775,PD_06,PD_14,VMCUB1,1
Navitoclax,Trametinib,PD_02,PD_15,5637,1
Navitoclax,Trametinib,PD_02,PD_15,639V,0
Navitoclax,Trametinib,PD_02,PD_15,647V,1
Navitoclax,Trametinib,PD_02,PD_15,BFTC905,1
Navitoclax,Trametinib,PD_02,PD_15,CAL29,1
Navitoclax,Trametinib,PD_02,PD_15,DSH1,1
Navitoclax,Trametinib,PD_02,PD_15,HT1376,1
Navitoclax,Trametinib,PD_02,PD_15,J82,1
Navitoclax,Trametinib,PD_02,PD_15,KU1919,1
Navitoclax,Trametinib,PD_02,PD_15,LB831BLC,0
Navitoclax,Trametinib,PD_02,PD_15,RT112,1
Navitoclax,Trametinib,PD_02,PD_15,RT4,1
Navitoclax,Trametinib,PD_02,PD_15,SW1710,1
Navitoclax,Trametinib,PD_02,PD_15,SW780,1
Navitoclax,Trametinib,PD_02,PD_15,TCCSUP,1
Navitoclax,Trametinib,PD_02,PD_15,UMUC3,1
Navitoclax,Trametinib,PD_02,PD_15,VMCUB1,1
Nilotinib,Trametinib,PD_03,PD_15,5637,1
Nilotinib,Trametinib,PD_03,PD_15,639V,0
Nilotinib,Trametinib,PD_03,PD_15,647V,1
Nilotinib,Trametinib,PD_03,PD_15,BFTC905,1
Nilotinib,Trametinib,PD_03,PD_15,CAL29,1
Nilotinib,Trametinib,PD_03,PD_15,DSH1,1
Nilotinib,Trametinib,PD_03,PD_15,HT1197,1
Nilotinib,Trametinib,PD_03,PD_15,HT1376,0
Nilotinib,Trametinib,PD_03,PD_15,J82,0
Nilotinib,Trametinib,PD_03,PD_15,KU1919,1
Nilotinib,Trametinib,PD_03,PD_15,LB831BLC,0
Nilotinib,Trametinib,PD_03,PD_15,RT112,0
