drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Taselisib,Navitoclax,PD_12,PD_02,SNU175,1
Taselisib,Navitoclax,PD_12,PD_02,SNU407,1
Taselisib,Navitoclax,PD_12,PD_02,SNU61,1
Taselisib,Navitoclax,PD_12,PD_02,SNUC1,1
Taselisib,Navitoclax,PD_12,PD_02,SNUC2B,1
Taselisib,Navitoclax,PD_12,PD_02,SNUC5,1
Taselisib,Navitoclax,PD_12,PD_02,SW1116,1
Taselisib,Navitoclax,PD_12,PD_02,SW1463,1
Taselisib,Navitoclax,PD_12,PD_02,SW48,1
Taselisib,Navitoclax,PD_12,PD_02,SW620,1
Taselisib,Navitoclax,PD_12,PD_02,SW626,1
Taselisib,Navitoclax,PD_12,PD_02,SW837,1
Taselisib,Navitoclax,PD_12,PD_02,SW948,1
Taselisib,Navitoclax,PD_12,PD_02,T84,1
Trametinib,Olaparib,PD_15,PD_04,C2BBE1,1
Trametinib,Olaparib,PD_15,PD_04,CCK81,1
Trametinib,Olaparib,PD_15,PD_04,CL11,1
Trametinib,Olaparib,PD_15,PD_04,CL40,1
Trametinib,Olaparib,PD_15,PD_04,COLO205,1
Trametinib,Olaparib,PD_15,PD_04,COLO320HSR,0
Trametinib,Olaparib,PD_15,PD_04,COLO678,1
Trametinib,Olaparib,PD_15,PD_04,CW2,1
Trametinib,Olaparib,PD_15,PD_04,CAR1,0
Trametinib,Olaparib,PD_15,PD_04,GP5D,1
Trametinib,Olaparib,PD_15,PD_04,HCC2998,1
Trametinib,Olaparib,PD_15,PD_04,HCT116,1
Trametinib,Olaparib,PD_15,PD_04,HCT15,0
Trametinib,Olaparib,PD_15,PD_04,HT29,1
Trametinib,Olaparib,PD_15,PD_04,HT55,1
Trametinib,Olaparib,PD_15,PD_04,KM12,0
Trametinib,Olaparib,PD_15,PD_04,LS123,0
Trametinib,Olaparib,PD_15,PD_04,LS180,0
Trametinib,Olaparib,PD_15,PD_04,LS411N,1
Trametinib,Olaparib,PD_15,PD_04,LS513,1
Trametinib,Olaparib,PD_15,PD_04,LOVO,1
Trametinib,Olaparib,PD_15,PD_04,MDST8,1
Trametinib,Olaparib,PD_15,PD_04,NCIH716,0
Trametinib,Olaparib,PD_15,PD_04,NCIH747,1
Trametinib,Olaparib,PD_15,PD_04,RCM1,1
Trametinib,Olaparib,PD_15,PD_04,RKO,1
Trametinib,Olaparib,PD_15,PD_04,SKCO1,0
Trametinib,Olaparib,PD_15,PD_04,SNU175,1
Trametinib,Olaparib,PD_15,PD_04,SNU407,1
Trametinib,Olaparib,PD_15,PD_04,SNU61,1
Trametinib,Olaparib,PD_15,PD_04,SNUC1,1
Trametinib,Olaparib,PD_15,PD_04,SNUC2B,0
Trametinib,Olaparib,PD_15,PD_04,SNUC5,1
Trametinib,Olaparib,PD_15,PD_04,SW1116,1
Trametinib,Olaparib,PD_15,PD_04,SW1417,0
Trametinib,Olaparib,PD_15,PD_04,SW1463,1
Trametinib,Olaparib,PD_15,PD_04,SW48,1
Trametinib,Olaparib,PD_15,PD_04,SW620,0
Trametinib,Olaparib,PD_15,PD_04,SW626,1
Trametinib,Olaparib,PD_15,PD_04,SW837,1
Trametinib,Olaparib,PD_15,PD_04,SW948,0
Trametinib,Olaparib,PD_15,PD_04,T84,1
Taselisib,Olaparib,PD_12,PD_04,C2BBE1,1
Taselisib,Olaparib,PD_12,PD_04,CCK81,1
Taselisib,Olaparib,PD_12,PD_04,CL11,1
Taselisib,Olaparib,PD_12,PD_04,CL40,1
Taselisib,Olaparib,PD_12,PD_04,COLO205,0
Taselisib,Olaparib,PD_12,PD_04,COLO320HSR,0
Taselisib,Olaparib,PD_12,PD_04,COLO678,0
Taselisib,Olaparib,PD_12,PD_04,CW2,0
Taselisib,Olaparib,PD_12,PD_04,CAR1,1
Taselisib,Olaparib,PD_12,PD_04,GP5D,1
Taselisib,Olaparib,PD_12,PD_04,HCC2998,0
Taselisib,Olaparib,PD_12,PD_04,HCT116,0
Taselisib,Olaparib,PD_12,PD_04,HCT15,1
Taselisib,Olaparib,PD_12,PD_04,HT29,1
Taselisib,Olaparib,PD_12,PD_04,HT55,1
Taselisib,Olaparib,PD_12,PD_04,KM12,0
