,inhibitor_combination,cell_line,synergy
439,WEE1i + PI3Ki,LB831BLC,1.0
440,ABL1i + MEKi,RT112,0.0
441,AKTi + MTORi,RT112,1.0
442,BCL2i + EGFRi,RT112,1.0
443,BCL2i + ErrBi,RT112,1.0
444,BCL2i + MEKi,RT112,1.0
445,BCL2i + PI3Ki,RT112,1.0
446,CHEKi + ATMa,RT112,1.0
447,CHEKi + WEE1i,RT112,1.0
448,ErrBi + AKTi,RT112,1.0
449,ErrBi + BCL2i,RT112,1.0
450,ErrBi + CDKi,RT112,0.0
451,ErrBi + FGFRi,RT112,1.0
452,ErrBi + IGFRi,RT112,1.0
453,ErrBi + MEKi,RT112,1.0
454,ErrBi + METi,RT112,1.0
455,ErrBi + PI3Ki,RT112,1.0
456,ErrBi + PORCNi,RT112,1.0
457,ErrBi + RAFi,RT112,0.0
458,MEKi + AKTi,RT112,1.0
459,MEKi + BCL2i,RT112,1.0
460,MEKi + CDKi,RT112,1.0
461,MEKi + ERKi,RT112,0.0
462,MEKi + ErrBi,RT112,1.0
463,MEKi + IGFRi,RT112,0.0
464,MEKi + PARPi,RT112,0.0
465,MEKi + PI3Ki,RT112,1.0
466,MEKi + PORCNi,RT112,0.0
467,PARPi + WEE1i,RT112,1.0
468,PI3Ki + AKTi,RT112,0.0
469,PI3Ki + BCL2i,RT112,1.0
470,PI3Ki + CDKi,RT112,1.0
471,PI3Ki + ErrBi,RT112,1.0
472,PI3Ki + IGFRi,RT112,1.0
473,PI3Ki + MEKi,RT112,1.0
474,PI3Ki + MTORi,RT112,1.0
475,PI3Ki + PARPi,RT112,1.0
476,PI3Ki + PORCNi,RT112,1.0
477,WEE1i + ATMa,RT112,1.0
478,WEE1i + MDM2i,RT112,1.0
479,WEE1i + PI3Ki,RT112,0.0
480,ABL1i + MEKi,RT4,1.0
481,AKTi + MTORi,RT4,1.0
482,BCL2i + EGFRi,RT4,1.0
483,BCL2i + ErrBi,RT4,1.0
484,BCL2i + MEKi,RT4,1.0
485,BCL2i + PI3Ki,RT4,0.0
486,CHEKi + ATMa,RT4,1.0
487,CHEKi + WEE1i,RT4,1.0
488,ErrBi + AKTi,RT4,1.0
489,ErrBi + BCL2i,RT4,1.0
490,ErrBi + CDKi,RT4,1.0
491,ErrBi + FGFRi,RT4,1.0
492,ErrBi + IGFRi,RT4,1.0
493,ErrBi + MEKi,RT4,1.0
494,ErrBi + METi,RT4,1.0
495,ErrBi + PI3Ki,RT4,0.5
496,ErrBi + PORCNi,RT4,1.0
497,ErrBi + RAFi,RT4,1.0
498,MEKi + AKTi,RT4,1.0
499,MEKi + BCL2i,RT4,1.0
500,MEKi + CDKi,RT4,1.0
501,MEKi + ERKi,RT4,0.0
502,MEKi + ErrBi,RT4,1.0
503,MEKi + IGFRi,RT4,1.0
504,MEKi + PARPi,RT4,0.0
505,MEKi + PI3Ki,RT4,1.0
506,MEKi + PORCNi,RT4,1.0
507,PARPi + WEE1i,RT4,1.0
508,PI3Ki + AKTi,RT4,0.0
509,PI3Ki + BCL2i,RT4,0.0
510,PI3Ki + CDKi,RT4,0.0
511,PI3Ki + ErrBi,RT4,1.0
512,PI3Ki + IGFRi,RT4,0.0
513,PI3Ki + MEKi,RT4,1.0
514,PI3Ki + MTORi,RT4,1.0
515,PI3Ki + PARPi,RT4,0.0
516,PI3Ki + PORCNi,RT4,1.0
517,WEE1i + ATMa,RT4,1.0
518,WEE1i + MDM2i,RT4,0.0
519,WEE1i + PI3Ki,RT4,1.0
520,ABL1i + MEKi,SW1710,1.0
521,AKTi + MTORi,SW1710,1.0
522,BCL2i + EGFRi,SW1710,1.0
523,BCL2i + ErrBi,SW1710,1.0
524,BCL2i + MEKi,SW1710,1.0
525,BCL2i + PI3Ki,SW1710,1.0
526,CHEKi + ATMa,SW1710,1.0
527,CHEKi + WEE1i,SW1710,1.0
528,ErrBi + AKTi,SW1710,1.0
529,ErrBi + BCL2i,SW1710,0.0
530,ErrBi + CDKi,SW1710,0.0
531,ErrBi + FGFRi,SW1710,1.0
532,ErrBi + IGFRi,SW1710,1.0
533,ErrBi + MEKi,SW1710,1.0
534,ErrBi + METi,SW1710,1.0
535,ErrBi + PI3Ki,SW1710,0.5
536,ErrBi + PORCNi,SW1710,1.0
537,ErrBi + RAFi,SW1710,1.0
538,MEKi + AKTi,SW1710,1.0
539,MEKi + BCL2i,SW1710,0.0
540,MEKi + CDKi,SW1710,0.0
541,MEKi + ERKi,SW1710,0.0
542,MEKi + ErrBi,SW1710,0.0
543,MEKi + IGFRi,SW1710,1.0
544,MEKi + PARPi,SW1710,0.0
545,MEKi + PI3Ki,SW1710,1.0
546,MEKi + PORCNi,SW1710,0.0
547,PARPi + WEE1i,SW1710,1.0
548,PI3Ki + AKTi,SW1710,0.0
549,PI3Ki + BCL2i,SW1710,0.0
550,PI3Ki + CDKi,SW1710,0.0
551,PI3Ki + ErrBi,SW1710,1.0
552,PI3Ki + IGFRi,SW1710,1.0
553,PI3Ki + MEKi,SW1710,1.0
554,PI3Ki + MTORi,SW1710,1.0
555,PI3Ki + PARPi,SW1710,0.0
556,PI3Ki + PORCNi,SW1710,1.0
557,WEE1i + ATMa,SW1710,1.0
558,WEE1i + MDM2i,SW1710,1.0
559,WEE1i + PI3Ki,SW1710,0.0
560,ABL1i + MEKi,SW780,0.0
561,AKTi + MTORi,SW780,1.0
562,BCL2i + EGFRi,SW780,1.0
563,BCL2i + ErrBi,SW780,1.0
564,BCL2i + MEKi,SW780,1.0
565,BCL2i + PI3Ki,SW780,0.0
566,CHEKi + ATMa,SW780,1.0
567,CHEKi + WEE1i,SW780,0.0
568,ErrBi + AKTi,SW780,0.0
569,ErrBi + BCL2i,SW780,0.0
570,ErrBi + CDKi,SW780,0.0
571,ErrBi + FGFRi,SW780,1.0
572,ErrBi + IGFRi,SW780,0.0
573,ErrBi + MEKi,SW780,1.0
574,ErrBi + METi,SW780,1.0
575,ErrBi + PI3Ki,SW780,0.5
576,ErrBi + PORCNi,SW780,0.0
577,ErrBi + RAFi,SW780,1.0
578,MEKi + AKTi,SW780,1.0
579,MEKi + BCL2i,SW780,1.0
580,MEKi + CDKi,SW780,0.0
581,MEKi + ERKi,SW780,0.0
582,MEKi + ErrBi,SW780,1.0
583,MEKi + IGFRi,SW780,1.0
584,MEKi + PARPi,SW780,1.0
585,MEKi + PI3Ki,SW780,1.0
586,MEKi + PORCNi,SW780,1.0
587,PARPi + WEE1i,SW780,0.0
588,PI3Ki + AKTi,SW780,0.0
589,PI3Ki + BCL2i,SW780,0.0
590,PI3Ki + CDKi,SW780,1.0
591,PI3Ki + ErrBi,SW780,0.0
592,PI3Ki + IGFRi,SW780,0.0
593,PI3Ki + MEKi,SW780,1.0
594,PI3Ki + MTORi,SW780,1.0
595,PI3Ki + PARPi,SW780,1.0
596,PI3Ki + PORCNi,SW780,0.0
597,WEE1i + ATMa,SW780,1.0
598,WEE1i + MDM2i,SW780,0.0
599,WEE1i + PI3Ki,SW780,1.0
600,ABL1i + MEKi,TCCSUP,1.0
601,AKTi + MTORi,TCCSUP,1.0
602,BCL2i + EGFRi,TCCSUP,1.0
603,BCL2i + ErrBi,TCCSUP,1.0
604,BCL2i + MEKi,TCCSUP,1.0
605,BCL2i + PI3Ki,TCCSUP,1.0
606,CHEKi + ATMa,TCCSUP,1.0
607,CHEKi + WEE1i,TCCSUP,1.0
608,ErrBi + AKTi,TCCSUP,1.0
609,ErrBi + BCL2i,TCCSUP,1.0
610,ErrBi + CDKi,TCCSUP,0.0
611,ErrBi + FGFRi,TCCSUP,1.0
612,ErrBi + IGFRi,TCCSUP,0.0
613,ErrBi + MEKi,TCCSUP,1.0
614,ErrBi + METi,TCCSUP,0.0
615,ErrBi + PI3Ki,TCCSUP,0.0
616,ErrBi + PORCNi,TCCSUP,0.0
617,ErrBi + RAFi,TCCSUP,0.0
618,MEKi + AKTi,TCCSUP,1.0
619,MEKi + BCL2i,TCCSUP,0.0
620,MEKi + CDKi,TCCSUP,0.0
621,MEKi + ERKi,TCCSUP,0.0
622,MEKi + ErrBi,TCCSUP,0.0
623,MEKi + IGFRi,TCCSUP,0.0
624,MEKi + PARPi,TCCSUP,0.0
625,MEKi + PI3Ki,TCCSUP,1.0
626,MEKi + PORCNi,TCCSUP,0.0
627,PARPi + WEE1i,TCCSUP,0.0
628,PI3Ki + AKTi,TCCSUP,0.0
629,PI3Ki + BCL2i,TCCSUP,1.0
630,PI3Ki + CDKi,TCCSUP,0.0
631,PI3Ki + ErrBi,TCCSUP,1.0
