,drug_combination,cell_line,synergy
269,Lapatinib + Taselisib,HT1197,0.0
270,Lapatinib + Trametinib,HT1197,0.0
271,MK-1775 + Cisplatin,HT1197,
272,MK-1775 + Nutlin-3a (-),HT1197,0.0
273,MK-1775 + Pictilisib,HT1197,
274,MK-2206 + OSI-027,HT1197,
275,Navitoclax + Afatinib,HT1197,
276,Navitoclax + Axitinib,HT1197,
277,Navitoclax + Taselisib,HT1197,
278,Navitoclax + Trametinib,HT1197,
279,Nilotinib + Trametinib,HT1197,1.0
280,Olaparib + MK-1775,HT1197,1.0
281,Taselisib + Afatinib,HT1197,1.0
282,Taselisib + LGK974,HT1197,1.0
283,Taselisib + Linsitinib,HT1197,1.0
284,Taselisib + MK-2206,HT1197,1.0
285,Taselisib + Navitoclax,HT1197,
286,Taselisib + OSI-027,HT1197,
287,Taselisib + Olaparib,HT1197,
288,Taselisib + Palbociclib,HT1197,1.0
289,Taselisib + Sapitinib,HT1197,
290,Taselisib + Trametinib,HT1197,1.0
291,Trametinib + Afatinib,HT1197,1.0
292,Trametinib + LGK974,HT1197,0.0
293,Trametinib + Linsitinib,HT1197,0.0
294,Trametinib + MK-2206,HT1197,1.0
295,Trametinib + Navitoclax,HT1197,
296,Trametinib + Olaparib,HT1197,
297,Trametinib + Palbociclib,HT1197,0.0
298,Trametinib + Pictilisib,HT1197,
299,Trametinib + SCH772984,HT1197,0.0
300,Trametinib + Taselisib,HT1197,1.0
301,AZD7762 + Cisplatin,HT1376,1.0
302,AZD7762 + MK-1775,HT1376,1.0
303,Lapatinib + Crizotinib,HT1376,1.0
304,Lapatinib + Dabrafenib,HT1376,0.0
305,Lapatinib + LGK974,HT1376,0.0
306,Lapatinib + Linsitinib,HT1376,0.0
307,Lapatinib + MK-2206,HT1376,0.0
308,Lapatinib + Navitoclax,HT1376,1.0
309,Lapatinib + PD173074,HT1376,1.0
310,Lapatinib + Palbociclib,HT1376,1.0
311,Lapatinib + Pictilisib,HT1376,1.0
312,Lapatinib + Taselisib,HT1376,1.0
313,Lapatinib + Trametinib,HT1376,0.0
314,MK-1775 + Cisplatin,HT1376,1.0
315,MK-1775 + Nutlin-3a (-),HT1376,1.0
316,MK-1775 + Pictilisib,HT1376,1.0
317,MK-2206 + OSI-027,HT1376,0.0
318,Navitoclax + Afatinib,HT1376,1.0
319,Navitoclax + Axitinib,HT1376,1.0
320,Navitoclax + Taselisib,HT1376,0.0
321,Navitoclax + Trametinib,HT1376,1.0
322,Nilotinib + Trametinib,HT1376,0.0
323,Olaparib + MK-1775,HT1376,1.0
324,Taselisib + Afatinib,HT1376,1.0
325,Taselisib + LGK974,HT1376,0.0
326,Taselisib + Linsitinib,HT1376,0.0
327,Taselisib + MK-2206,HT1376,1.0
328,Taselisib + Navitoclax,HT1376,0.0
329,Taselisib + OSI-027,HT1376,0.0
330,Taselisib + Olaparib,HT1376,0.0
331,Taselisib + Palbociclib,HT1376,1.0
332,Taselisib + Sapitinib,HT1376,0.0
333,Taselisib + Trametinib,HT1376,1.0
334,Trametinib + Afatinib,HT1376,1.0
335,Trametinib + LGK974,HT1376,0.0
336,Trametinib + Linsitinib,HT1376,0.0
337,Trametinib + MK-2206,HT1376,0.0
338,Trametinib + Navitoclax,HT1376,1.0
339,Trametinib + Olaparib,HT1376,0.0
340,Trametinib + Palbociclib,HT1376,1.0
341,Trametinib + Pictilisib,HT1376,1.0
342,Trametinib + SCH772984,HT1376,0.0
343,Trametinib + Taselisib,HT1376,1.0
344,AZD7762 + Cisplatin,J82,1.0
345,AZD7762 + MK-1775,J82,1.0
346,Lapatinib + Crizotinib,J82,0.0
347,Lapatinib + Dabrafenib,J82,0.0
348,Lapatinib + LGK974,J82,0.0
349,Lapatinib + Linsitinib,J82,1.0
350,Lapatinib + MK-2206,J82,1.0
351,Lapatinib + Navitoclax,J82,0.0
352,Lapatinib + PD173074,J82,1.0
353,Lapatinib + Palbociclib,J82,1.0
354,Lapatinib + Pictilisib,J82,1.0
355,Lapatinib + Taselisib,J82,1.0
356,Lapatinib + Trametinib,J82,0.0
357,MK-1775 + Cisplatin,J82,1.0
358,MK-1775 + Nutlin-3a (-),J82,1.0
359,MK-1775 + Pictilisib,J82,1.0
360,MK-2206 + OSI-027,J82,1.0
361,Navitoclax + Afatinib,J82,1.0
362,Navitoclax + Axitinib,J82,1.0
363,Navitoclax + Taselisib,J82,0.0
364,Navitoclax + Trametinib,J82,1.0
365,Nilotinib + Trametinib,J82,0.0
366,Olaparib + MK-1775,J82,1.0
367,Taselisib + Afatinib,J82,1.0
368,Taselisib + LGK974,J82,1.0
369,Taselisib + Linsitinib,J82,1.0
370,Taselisib + MK-2206,J82,1.0
371,Taselisib + Navitoclax,J82,0.0
372,Taselisib + OSI-027,J82,1.0
373,Taselisib + Olaparib,J82,1.0
374,Taselisib + Palbociclib,J82,1.0
375,Taselisib + Sapitinib,J82,1.0
376,Taselisib + Trametinib,J82,1.0
377,Trametinib + Afatinib,J82,0.0
378,Trametinib + LGK974,J82,1.0
379,Trametinib + Linsitinib,J82,1.0
380,Trametinib + MK-2206,J82,1.0
381,Trametinib + Navitoclax,J82,0.0
382,Trametinib + Olaparib,J82,1.0
383,Trametinib + Palbociclib,J82,0.0
384,Trametinib + Pictilisib,J82,1.0
385,Trametinib + SCH772984,J82,0.0
386,Trametinib + Taselisib,J82,1.0
387,AZD7762 + Cisplatin,KU1919,1.0
388,AZD7762 + MK-1775,KU1919,1.0
389,Lapatinib + Crizotinib,KU1919,1.0
390,Lapatinib + Dabrafenib,KU1919,1.0
391,Lapatinib + LGK974,KU1919,0.0
392,Lapatinib + Linsitinib,KU1919,0.0
393,Lapatinib + MK-2206,KU1919,1.0
394,Lapatinib + Navitoclax,KU1919,0.0
395,Lapatinib + PD173074,KU1919,1.0
396,Lapatinib + Palbociclib,KU1919,0.0
397,Lapatinib + Pictilisib,KU1919,0.0
398,Lapatinib + Taselisib,KU1919,0.0
