,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
73,Taselisib,Navitoclax,PD_12,PD_02,CAL29,1,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
74,Taselisib,Navitoclax,PD_12,PD_02,DSH1,1,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
75,Taselisib,Navitoclax,PD_12,PD_02,HT1376,0,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
76,Taselisib,Navitoclax,PD_12,PD_02,J82,0,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
77,Taselisib,Navitoclax,PD_12,PD_02,KU1919,0,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
78,Taselisib,Navitoclax,PD_12,PD_02,LB831BLC,0,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
79,Taselisib,Navitoclax,PD_12,PD_02,RT112,1,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
80,Taselisib,Navitoclax,PD_12,PD_02,RT4,0,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
81,Taselisib,Navitoclax,PD_12,PD_02,SW1710,0,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
82,Taselisib,Navitoclax,PD_12,PD_02,SW780,0,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
