drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
AZD-8055,SN-38,NCI-H508,-8.231856284,PD_03,
AZD-8055,Ulixertinib,NCI-H508,21.17745834,PD_03,PD_11
Capivasertib,Lapatinib,NCI-H508,2.042596551,PD_01,PD_04
Capivasertib,Neratinib,NCI-H508,0.148899747,PD_01,PD_04
Everolimus,Capivasertib,NCI-H508,-3.219928606,PD_03,PD_01
Everolimus,Ipatasertib,NCI-H508,-4.093094847,PD_03,PD_01
Everolimus,Lapatinib,NCI-H508,-3.537386296,PD_03,PD_04
Everolimus,Navitoclax,NCI-H508,19.07166277,PD_03,PD_09
Everolimus,Neratinib,NCI-H508,-4.461617111,PD_03,PD_04
Everolimus,Obatoclax Mesylate,NCI-H508,19.42467717,PD_03,PD_10
Everolimus,oxaliplatin,NCI-H508,-0.021934073,PD_03,
Everolimus,Palbociclib,NCI-H508,14.72801352,PD_03,PD_08
Everolimus,SN-38,NCI-H508,8.68478814,PD_03,
Everolimus,Ulixertinib,NCI-H508,25.27420022,PD_03,PD_11
Ipatasertib,Lapatinib,NCI-H508,-0.033199124,PD_01,PD_04
Ipatasertib,Neratinib,NCI-H508,-0.65015566,PD_01,PD_04
PF 477736,MK-1775 (Advosertib),NCI-H508,24.1366347,PD_02,PD_06
PF 477736,Niraparib,NCI-H508,0.728232183,PD_02,PD_05
PF 477736,Olaparib,NCI-H508,9.344096912,PD_02,PD_05
PF 477736,Palbociclib,NCI-H508,-3.539020112,PD_02,PD_08
PF 477736,PF-3644022,NCI-H508,11.00805093,PD_02,PD_07
Prexasertib,MK-1775 (Advosertib),NCI-H508,14.85607377,PD_02,PD_06
Prexasertib,Niraparib,NCI-H508,-5.002991367,PD_02,PD_05
Prexasertib,Olaparib,NCI-H508,3.597537926,PD_02,PD_05
Prexasertib,Palbociclib,NCI-H508,-21.07924373,PD_02,PD_08
Prexasertib,PF-3644022,NCI-H508,0.604783502,PD_02,PD_07
Torin 1,Capivasertib,NCI-H508,-0.744048357,PD_03,PD_01
Torin 1,Ipatasertib,NCI-H508,-5.104655765,PD_03,PD_01
Torin 1,Lapatinib,NCI-H508,-2.047275003,PD_03,PD_04
Torin 1,Navitoclax,NCI-H508,15.35575897,PD_03,PD_09
Torin 1,Neratinib,NCI-H508,-1.326650492,PD_03,PD_04
Torin 1,Obatoclax Mesylate,NCI-H508,16.91406404,PD_03,PD_10
