,inhibitor_combination,cell_line,tissue,pd_combination,exp_synergy,pred_synergy,exp_binary,pred_binary,confusion_matrix_value
143,CHEKi + MAPKi,T84,,PD_18-PD_17,26.63705958,-0.0,True,False,False Negative
144,CHEKi + PARPi,C2BBE1,,,-8.014551702,-0.0,False,False,True Negative
145,CHEKi + PARPi,CAR1,,PD_18-PD_14,0.6254743005000001,-0.0,True,False,False Negative
146,CHEKi + PARPi,CL11,,,-7.36515097625,-0.0,False,False,True Negative
147,CHEKi + PARPi,HT115,,,-5.66481161225,-0.0,False,False,True Negative
148,CHEKi + PARPi,LS123,,PD_18-PD_14,3.657640209,-0.0,True,False,False Negative
149,CHEKi + PARPi,NCIH508,,,-2.1754500775,-0.0,False,False,True Negative
150,CHEKi + PARPi,NCIH716,,,-10.706961034999999,-0.0,False,False,True Negative
151,CHEKi + PARPi,NCIH747,,,-0.6839183115,-0.0,False,False,True Negative
152,CHEKi + PARPi,SNU81,,,2.84026618375,-0.0,True,False,False Negative
153,CHEKi + PARPi,SW1116,,PD_18-PD_14,-25.85536358,-0.0,False,False,True Negative
154,CHEKi + PARPi,SW1417,,PD_18-PD_14,-8.21172601775,-0.0,False,False,True Negative
155,CHEKi + PARPi,SW1463,,PD_18-PD_14,-38.325343865,-0.0,False,False,True Negative
156,CHEKi + PARPi,SW620,,PD_18-PD_14,2.97575629325,-0.0,True,False,False Negative
157,CHEKi + PARPi,SW837,,PD_18-PD_14,-1.19677615975,-0.0,False,False,True Negative
158,CHEKi + PARPi,SW948,,PD_18-PD_14,-7.03361257475,-0.0,False,False,True Negative
159,CHEKi + PARPi,T84,,PD_18-PD_14,9.43386438925,-0.0,True,False,False Negative
160,CHEKi + Wee1i,C2BBE1,,,3.9159152835,0.0041933186848956,True,True,True Positive
161,CHEKi + Wee1i,CAR1,,PD_18-PD_12,25.404989665,0.0111110432942707,True,True,True Positive
162,CHEKi + Wee1i,CL11,,,5.1054943535,-0.0,True,False,False Negative
163,CHEKi + Wee1i,HT115,,,-2.768361424,0.0104443359374999,False,True,False Positive
164,CHEKi + Wee1i,LS123,,PD_18-PD_12,23.203227495,0.0020833333333334,True,True,True Positive
165,CHEKi + Wee1i,NCIH508,,,20.09398737,0.0012223307291665,True,True,True Positive
166,CHEKi + Wee1i,NCIH716,,,15.215913645,-0.0,True,False,False Negative
167,CHEKi + Wee1i,NCIH747,,,3.2486887584999997,-0.0,True,False,False Negative
168,CHEKi + Wee1i,SNU81,,,17.03254425,-0.0,True,False,False Negative
169,CHEKi + Wee1i,SW1116,,PD_18-PD_12,-16.495487015,-0.0,False,False,True Negative
170,CHEKi + Wee1i,SW1417,,PD_18-PD_12,-5.866927039,-0.0,False,False,True Negative
171,CHEKi + Wee1i,SW1463,,PD_18-PD_12,-7.1918319754999995,-0.0,False,False,True Negative
172,CHEKi + Wee1i,SW620,,PD_18-PD_12,13.491195065,-0.0,True,False,False Negative
173,CHEKi + Wee1i,SW837,,PD_18-PD_12,6.6433664624999995,0.0075,True,True,True Positive
174,CHEKi + Wee1i,SW948,,PD_18-PD_12,12.951463440000001,0.0046429443359374,True,True,True Positive
175,CHEKi + Wee1i,T84,,PD_18-PD_12,37.07855477,0.0066666666666668,True,True,True Positive
176,CyclinDi + PIK3_MTORi,C2BBE1,,,-1.366015714,0.2480610288422683,False,True,False Positive
177,CyclinDi + PIK3_MTORi,CAR1,,PD_02-PD_16,5.123659208,0.23437925301847,True,True,True Positive
178,CyclinDi + PIK3_MTORi,CL11,,,-1.567140227,0.4253891689676634,False,True,False Positive
179,CyclinDi + PIK3_MTORi,HT115,,,-8.607893466,0.5784691410719811,False,True,False Positive
180,CyclinDi + PIK3_MTORi,LS123,,PD_02-PD_16,-0.977657128,0.378108847631167,False,True,False Positive
181,CyclinDi + PIK3_MTORi,NCIH508,,,2.202388616,0.2628571573893229,True,True,True Positive
182,CyclinDi + PIK3_MTORi,NCIH716,,,-3.541904063,0.4380414710854584,False,True,False Positive
183,CyclinDi + PIK3_MTORi,NCIH747,,,-1.990159784,0.3811643940128692,False,True,False Positive
184,CyclinDi + PIK3_MTORi,SNU81,,,-1.3300907,0.4141023433666387,False,True,False Positive
185,CyclinDi + PIK3_MTORi,SW1116,,PD_02-PD_16,-1.497618885,0.2726967551491477,False,True,False Positive
186,CyclinDi + PIK3_MTORi,SW1417,,PD_02-PD_16,1.230634626,0.1934735149145126,True,True,True Positive
187,CyclinDi + PIK3_MTORi,SW1463,,PD_02-PD_16,1.6313249,0.4308382298396184,True,True,True Positive
188,CyclinDi + PIK3_MTORi,SW620,,PD_02-PD_16,0.686716074,0.567206183783442,True,True,True Positive
189,CyclinDi + PIK3_MTORi,SW837,,PD_02-PD_16,0.262354444,0.2697354271298363,True,True,True Positive
190,CyclinDi + PIK3_MTORi,SW948,,PD_02-PD_16,2.168639871,0.2711922102043594,True,True,True Positive
191,CyclinDi + PIK3_MTORi,T84,,PD_02-PD_16,6.621643111,0.4230459577187724,True,True,True Positive
192,CyclinDi + mTORi,C2BBE1,,,6.842835934,0.125780766805013,True,True,True Positive
193,CyclinDi + mTORi,CAR1,,PD_08-PD_16,6.497842155999999,0.1023744116226832,True,True,True Positive
194,CyclinDi + mTORi,CL11,,,0.22461027550000012,0.1898499552408854,True,True,True Positive
195,CyclinDi + mTORi,HT115,,,-1.5290650314999996,0.1937966169816692,False,True,False Positive
196,CyclinDi + mTORi,LS123,,PD_08-PD_16,-1.0958171435,0.1426770528157552,False,True,False Positive
197,CyclinDi + mTORi,NCIH508,,,14.13588017,0.0842965380350748,True,True,True Positive
198,CyclinDi + mTORi,NCIH716,,,11.552097896500001,0.2803058458411175,True,True,True Positive
199,CyclinDi + mTORi,NCIH747,,,4.5720109565,0.1311190541585286,True,True,True Positive
200,CyclinDi + mTORi,SNU81,,,0.45258225450000006,0.1874906624915396,True,True,True Positive
201,CyclinDi + mTORi,SW1116,,PD_08-PD_16,-4.0310568165000005,0.1093121719360351,False,True,False Positive
202,CyclinDi + mTORi,SW1417,,PD_08-PD_16,-3.900145652,0.0850238078832626,False,True,False Positive
203,CyclinDi + mTORi,SW1463,,PD_08-PD_16,-3.0391435639999997,0.1273023309240808,False,True,False Positive
204,CyclinDi + mTORi,SW620,,PD_08-PD_16,-0.6721005895,0.1415555572509765,False,True,False Positive
205,CyclinDi + mTORi,SW837,,PD_08-PD_16,-0.410762255,0.1034966150919596,False,True,False Positive
206,CyclinDi + mTORi,SW948,,PD_08-PD_16,2.4419954725,0.069771621681395,True,True,True Positive
207,CyclinDi + mTORi,T84,,PD_08-PD_16,6.4421262825,0.1417645517985026,True,True,True Positive
208,EGFRi + PIK3_MTORi,C2BBE1,,,6.5195681605,0.3689698142566899,True,True,True Positive
209,EGFRi + PIK3_MTORi,CAR1,,PD_02-PD_11,18.658228,0.5818332586073338,True,True,True Positive
210,EGFRi + PIK3_MTORi,CL11,,,-12.626909455,0.1200680324009486,False,True,False Positive
211,EGFRi + PIK3_MTORi,HT115,,,-2.331772482,1.2145980871143702,False,True,False Positive
212,EGFRi + PIK3_MTORi,LS123,,PD_02-PD_11,18.43449675,1.44727918028015,True,True,True Positive
213,EGFRi + PIK3_MTORi,NCIH508,,,7.116143676,1.1126339142898034,True,True,True Positive
214,EGFRi + PIK3_MTORi,NCIH716,,,2.6900849835,0.4667762375186562,True,True,True Positive
215,EGFRi + PIK3_MTORi,NCIH747,,,8.1803074565,0.288610045974319,True,True,True Positive
216,EGFRi + PIK3_MTORi,SNU81,,,1.2363611385,0.251887804142529,True,True,True Positive
217,EGFRi + PIK3_MTORi,SW1116,,PD_02-PD_11,7.3456089045,0.951839154974878,True,True,True Positive
218,EGFRi + PIK3_MTORi,SW1417,,PD_02-PD_11,4.7997193065,0.384063912942667,True,True,True Positive
219,EGFRi + PIK3_MTORi,SW1463,,PD_02-PD_11,9.1586282045,0.8134679185583237,True,True,True Positive
220,EGFRi + PIK3_MTORi,SW620,,PD_02-PD_11,-5.7043599469999995,0.468207275166231,False,True,False Positive
221,EGFRi + PIK3_MTORi,SW837,,PD_02-PD_11,14.4997525,-0.0,True,False,False Negative
222,EGFRi + PIK3_MTORi,SW948,,PD_02-PD_11,11.4345499695,1.089014768492631,True,True,True Positive
223,EGFRi + PIK3_MTORi,T84,,PD_02-PD_11,26.005174269999998,0.5676020894731794,True,True,True Positive
224,EGFRi + mTORi,C2BBE1,,,9.99377083575,0.1741833346772268,True,True,True Positive
225,EGFRi + mTORi,CAR1,,PD_08-PD_11,17.03358263,0.3609919281867939,True,True,True Positive
226,EGFRi + mTORi,CL11,,,-3.5926909780000003,-0.0,False,False,True Negative
227,EGFRi + mTORi,HT115,,,4.802082063499999,0.5264134437649179,True,True,True Positive
228,EGFRi + mTORi,LS123,,PD_08-PD_11,20.043239305,0.6686073083070971,True,True,True Positive
229,EGFRi + mTORi,NCIH508,,,6.2114123995,0.4629904429117837,True,True,True Positive
230,EGFRi + mTORi,NCIH716,,,7.58822940475,0.4818094784017264,True,True,True Positive
231,EGFRi + mTORi,NCIH747,,,10.7189676,-0.0,True,False,False Negative
232,EGFRi + mTORi,SNU81,,,1.8988293440000001,0.1428711754935128,True,True,True Positive
233,EGFRi + mTORi,SW1116,,PD_08-PD_11,-1.3402415965,0.3806653692783455,False,True,False Positive
234,EGFRi + mTORi,SW1417,,PD_08-PD_11,1.0350486297500003,0.243990703764416,True,True,True Positive
235,EGFRi + mTORi,SW1463,,PD_08-PD_11,-0.3468334790000005,0.6017311097198057,False,True,False Positive
236,EGFRi + mTORi,SW620,,PD_08-PD_11,-11.45620519775,-0.0,False,False,True Negative
237,EGFRi + mTORi,SW837,,PD_08-PD_11,4.58707616925,-0.0,True,False,False Negative
238,EGFRi + mTORi,SW948,,PD_08-PD_11,11.856119137250001,0.4315434540210126,True,True,True Positive
239,EGFRi + mTORi,T84,,PD_08-PD_11,17.691703082500002,-0.0,True,False,False Negative
240,ERKi + PIK3_MTORi,C2BBE1,,,4.667445162,0.7415911417074138,True,True,True Positive
241,ERKi + PIK3_MTORi,CAR1,,PD_02-PD_21,6.701518917,0.6685085617286572,True,True,True Positive
242,ERKi + PIK3_MTORi,CL11,,,12.76149961,0.8717391301715185,True,True,True Positive
243,ERKi + PIK3_MTORi,HT115,,,-6.384213319,0.8110673183865016,False,True,False Positive
244,ERKi + PIK3_MTORi,LS123,,PD_02-PD_21,5.327901919,0.8937621519881297,True,True,True Positive
245,ERKi + PIK3_MTORi,NCIH508,,,13.95298339,0.7851267231374547,True,True,True Positive
246,ERKi + PIK3_MTORi,NCIH716,,,10.78640251,0.9176672141065876,True,True,True Positive
247,ERKi + PIK3_MTORi,NCIH747,,,11.1011702,0.999271230567286,True,True,True Positive
248,ERKi + PIK3_MTORi,SNU81,,,1.447512106,0.7829179059780709,True,True,True Positive
249,ERKi + PIK3_MTORi,SW1116,,PD_02-PD_21,4.222305657,0.7232839346623076,True,True,True Positive
250,ERKi + PIK3_MTORi,SW1417,,PD_02-PD_21,9.035116033,0.7201950941348734,True,True,True Positive
251,ERKi + PIK3_MTORi,SW1463,,PD_02-PD_21,7.538900292,0.6720166080556016,True,True,True Positive
252,ERKi + PIK3_MTORi,SW620,,PD_02-PD_21,4.971321198,1.074070418224999,True,True,True Positive
253,ERKi + PIK3_MTORi,SW837,,PD_02-PD_21,5.664108703,0.8117305783872251,True,True,True Positive
254,ERKi + PIK3_MTORi,SW948,,PD_02-PD_21,15.52562719,0.8405706867781784,True,True,True Positive
255,ERKi + PIK3_MTORi,T84,,PD_02-PD_21,23.72198463,0.8515474825657658,True,True,True Positive
256,ERKi + mTORi,C2BBE1,,,11.061016555,0.2238047850993407,True,True,True Positive
257,ERKi + mTORi,CAR1,,PD_08-PD_21,10.0711310425,0.178289038616678,True,True,True Positive
258,ERKi + mTORi,CL11,,,19.0947002405,0.3443613785032241,True,True,True Positive
259,ERKi + mTORi,HT115,,,7.831521821000001,0.4189513921413291,True,True,True Positive
260,ERKi + mTORi,LS123,,PD_08-PD_21,8.8393922565,0.3537370627764697,True,True,True Positive
261,ERKi + mTORi,NCIH508,,,15.010983945,0.1144042703379755,True,True,True Positive
262,ERKi + mTORi,NCIH716,,,20.856486505,0.7359251827663845,True,True,True Positive
263,ERKi + mTORi,NCIH747,,,12.15747096,0.3576220424679944,True,True,True Positive
264,ERKi + mTORi,SNU81,,,3.1672612145,0.3966785218980576,True,True,True Positive
265,ERKi + mTORi,SW1116,,PD_08-PD_21,-0.9418669700000002,0.1836699820255889,False,True,False Positive
266,ERKi + mTORi,SW1417,,PD_08-PD_21,1.970513183,0.2854123284284933,True,True,True Positive
267,ERKi + mTORi,SW1463,,PD_08-PD_21,1.5562861000000001,0.2739763451975286,True,True,True Positive
