,drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
10,Capivasertib,Lapatinib,CAR1,15.5591876,PD_03,PD_11,PD_03-PD_11,Capivasertib + Lapatinib,AKTi,EGFRi,AKTi + EGFRi,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
11,Capivasertib,Neratinib,CAR1,18.96188844,PD_03,PD_11,PD_03-PD_11,Capivasertib + Neratinib,AKTi,EGFRi,AKTi + EGFRi,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
12,Everolimus,Capivasertib,CAR1,11.91344034,PD_08,PD_03,PD_08-PD_03,Everolimus + Capivasertib,mTORi,AKTi,mTORi + AKTi,"['mTOR_c1', 'mTOR_c2']",['AKT1'],"['mTOR_c1', 'mTOR_c2'] + ['AKT1']"
13,Everolimus,Ipatasertib,CAR1,14.60107217,PD_08,PD_03,PD_08-PD_03,Everolimus + Ipatasertib,mTORi,AKTi,mTORi + AKTi,"['mTOR_c1', 'mTOR_c2']",['AKT1'],"['mTOR_c1', 'mTOR_c2'] + ['AKT1']"
14,Everolimus,Lapatinib,CAR1,15.20290532,PD_08,PD_11,PD_08-PD_11,Everolimus + Lapatinib,mTORi,EGFRi,mTORi + EGFRi,"['mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
15,Everolimus,Navitoclax,CAR1,11.97593842,PD_08,PD_13,PD_08-PD_13,Everolimus + Navitoclax,mTORi,BCL2L1i,mTORi + BCL2L1i,"['mTOR_c1', 'mTOR_c2']","['BCL2', 'BCL2L1']","['mTOR_c1', 'mTOR_c2'] + ['BCL2', 'BCL2L1']"
16,Everolimus,Neratinib,CAR1,17.97987472,PD_08,PD_11,PD_08-PD_11,Everolimus + Neratinib,mTORi,EGFRi,mTORi + EGFRi,"['mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
17,Everolimus,Obatoclax,CAR1,14.28237654,PD_08,PD_15,PD_08-PD_15,Everolimus + Obatoclax,mTORi,BCL2i,mTORi + BCL2i,"['mTOR_c1', 'mTOR_c2']",['BCL2'],"['mTOR_c1', 'mTOR_c2'] + ['BCL2']"
18,Everolimus,Oxaliplatin,CAR1,0.8531608,PD_08,,PD_08-nan,Everolimus + Oxaliplatin,mTORi,,,"['mTOR_c1', 'mTOR_c2']",,
19,Everolimus,Palbociclib,CAR1,4.743510752,PD_08,PD_16,PD_08-PD_16,Everolimus + Palbociclib,mTORi,CyclinDi,mTORi + CyclinDi,"['mTOR_c1', 'mTOR_c2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['mTOR_c1', 'mTOR_c2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
