,drug_combination,cell_line,synergy
165,Everolimus + Navitoclax,LS123,23.37505288
166,Everolimus + Neratinib,LS123,22.2139609
167,Everolimus + Obatoclax,LS123,10.93813505
168,Everolimus + Palbociclib,LS123,-1.367469055
169,Everolimus + Ulixertinib,LS123,10.75691645
170,Ipatasertib + Lapatinib,LS123,4.592171572
171,Ipatasertib + Neratinib,LS123,7.64550296
172,PF-477736 + MK-1775,LS123,27.33258129
173,PF-477736 + Niraparib,LS123,11.70973812
174,PF-477736 + Olaparib,LS123,2.020814226
175,PF-477736 + PF-3644022,LS123,25.408327
176,PF-477736 + Palbociclib,LS123,8.079667169
177,Prexasertib + MK-1775,LS123,19.0738737
178,Prexasertib + Niraparib,LS123,2.013648454
179,Prexasertib + Olaparib,LS123,-1.113639964
180,Prexasertib + PF-3644022,LS123,7.081072245
181,Prexasertib + Palbociclib,LS123,-5.585888389
182,Torin 1 + Capivasertib,LS123,9.291091166
183,Torin 1 + Ipatasertib,LS123,8.823679821
184,Torin 1 + Lapatinib,LS123,14.96493586
185,Torin 1 + Navitoclax,LS123,16.27035192
186,Torin 1 + Neratinib,LS123,18.54322074
187,Torin 1 + Obatoclax,LS123,13.83168686
188,Torin 1 + Palbociclib,LS123,-0.824165232
189,Torin 1 + Ulixertinib,LS123,6.921868063
190,AZD-8055 + Capivasertib,NCIH508,5.760711844
191,AZD-8055 + Ipatasertib,NCIH508,3.275962605
192,AZD-8055 + Lapatinib,NCIH508,7.996840438
193,AZD-8055 + Navitoclax,NCIH508,25.28721176
194,AZD-8055 + Neratinib,NCIH508,6.235446914
195,AZD-8055 + Obatoclax,NCIH508,8.243421949
196,AZD-8055 + Palbociclib,NCIH508,2.202388616
197,AZD-8055 + Ulixertinib,NCIH508,13.95298339
198,Capivasertib + Lapatinib,NCIH508,14.71022725
199,Capivasertib + Neratinib,NCIH508,12.43511619
200,Everolimus + Capivasertib,NCIH508,6.343633233
201,Everolimus + Ipatasertib,NCIH508,3.885465894
202,Everolimus + Lapatinib,NCIH508,3.309719921
203,Everolimus + Navitoclax,NCIH508,26.8501285
204,Everolimus + Neratinib,NCIH508,2.009651022
